Size;Method;Time;Status;Solution;Timeout;Scans
0.8400;RULT;1814;1;1;0;10.62
0.8400;RULT;1810;1;1;0;10.62
0.8400;RULT;1797;1;1;0;10.62
0.8400;RULT;1805;1;1;0;10.62
0.8400;RULT;1801;1;1;0;10.62
0.8400;RULT;1802;1;1;0;10.62
0.8400;RULT;1801;1;1;0;10.62
0.8400;RULT;1801;1;1;0;10.62
0.8400;RULT;1798;1;1;0;10.62
0.8400;RULT;1805;1;1;0;10.62
0.8400;RULT;1800;1;1;0;10.62
0.8400;RULT;1800;1;1;0;10.62
0.8400;RULT;1804;1;1;0;10.62
0.8400;RULT;1794;1;1;0;10.62
0.8400;RULT;1804;1;1;0;10.62
0.8400;RULT;1796;1;1;0;10.62
0.8400;RULT;1799;1;1;0;10.62
0.8400;RULT;1797;1;1;0;10.62
0.8400;RULT;1802;1;1;0;10.62
0.8400;RULT;1799;1;1;0;10.62
0.8400;RULT;1213;1;1;0;7.24
0.8400;RULT;1203;1;1;0;7.24
0.8400;RULT;1205;1;1;0;7.24
0.8400;RULT;1202;1;1;0;7.24
0.8400;RULT;1213;1;1;0;7.24
0.8400;RULT;1206;1;1;0;7.24
0.8400;RULT;1209;1;1;0;7.24
0.8400;RULT;1207;1;1;0;7.24
0.8400;RULT;1209;1;1;0;7.24
0.8400;RULT;1209;1;1;0;7.24
0.8400;RULT;1205;1;1;0;7.24
0.8400;RULT;1212;1;1;0;7.24
0.8400;RULT;1202;1;1;0;7.24
0.8400;RULT;1206;1;1;0;7.24
0.8400;RULT;1210;1;1;0;7.24
0.8400;RULT;1205;1;1;0;7.24
0.8400;RULT;1210;1;1;0;7.24
0.8400;RULT;1203;1;1;0;7.24
0.8400;RULT;1201;1;1;0;7.24
0.8400;RULT;1210;1;1;0;7.24
0.8400;RULT;1598;1;1;0;8.95
0.8400;RULT;1589;1;1;0;8.95
0.8400;RULT;1588;1;1;0;8.95
0.8400;RULT;1595;1;1;0;8.95
0.8400;RULT;1587;1;1;0;8.95
0.8400;RULT;1588;1;1;0;8.95
0.8400;RULT;1590;1;1;0;8.95
0.8400;RULT;1592;1;1;0;8.95
0.8400;RULT;1583;1;1;0;8.95
0.8400;RULT;1592;1;1;0;8.95
0.8400;RULT;1585;1;1;0;8.95
0.8400;RULT;1587;1;1;0;8.95
0.8400;RULT;1590;1;1;0;8.95
0.8400;RULT;1591;1;1;0;8.95
0.8400;RULT;1589;1;1;0;8.95
0.8400;RULT;1588;1;1;0;8.95
0.8400;RULT;1582;1;1;0;8.95
0.8400;RULT;1588;1;1;0;8.95
0.8400;RULT;1588;1;1;0;8.95
