Size;Method;Time;Status;Solution;Timeout;Scans
100;RULT;3614;1;1;0;11.23
100;RULT;3583;1;1;0;11.23
100;RULT;3580;1;1;0;11.23
100;RULT;3581;1;1;0;11.23
100;RULT;3664;1;1;0;11.23
100;RULT;3632;1;1;0;11.23
100;RULT;3583;1;1;0;11.23
100;RULT;3582;1;1;0;11.23
100;RULT;3575;1;1;0;11.23
100;RULT;3581;1;1;0;11.23
100;RULT;3586;1;1;0;11.23
100;RULT;3582;1;1;0;11.23
100;RULT;3588;1;1;0;11.23
100;RULT;3584;1;1;0;11.23
100;RULT;3577;1;1;0;11.23
100;RULT;3580;1;1;0;11.23
100;RULT;3577;1;1;0;11.23
100;RULT;3581;1;1;0;11.23
100;RULT;3584;1;1;0;11.23
100;RULT;3578;1;1;0;11.23
100;RULT;3359;1;1;0;10.46
100;RULT;3360;1;1;0;10.46
100;RULT;3353;1;1;0;10.46
100;RULT;3353;1;1;0;10.46
100;RULT;3358;1;1;0;10.46
100;RULT;3360;1;1;0;10.46
100;RULT;3366;1;1;0;10.46
100;RULT;3356;1;1;0;10.46
100;RULT;3357;1;1;0;10.46
100;RULT;3359;1;1;0;10.46
100;RULT;3361;1;1;0;10.46
100;RULT;3352;1;1;0;10.46
100;RULT;3355;1;1;0;10.46
100;RULT;3350;1;1;0;10.46
100;RULT;3350;1;1;0;10.46
100;RULT;3359;1;1;0;10.46
100;RULT;3362;1;1;0;10.46
100;RULT;3358;1;1;0;10.46
100;RULT;3350;1;1;0;10.46
100;RULT;3356;1;1;0;10.46
100;RULT;2479;1;1;0;8.06
100;RULT;2475;1;1;0;8.06
100;RULT;2478;1;1;0;8.06
100;RULT;2488;1;1;0;8.06
100;RULT;2483;1;1;0;8.06
100;RULT;2479;1;1;0;8.06
100;RULT;2472;1;1;0;8.06
100;RULT;2477;1;1;0;8.06
100;RULT;2483;1;1;0;8.06
100;RULT;2480;1;1;0;8.06
100;RULT;2483;1;1;0;8.06
100;RULT;2494;1;1;0;8.06
100;RULT;2477;1;1;0;8.06
100;RULT;2478;1;1;0;8.06
100;RULT;2476;1;1;0;8.06
100;RULT;2482;1;1;0;8.06
100;RULT;2482;1;1;0;8.06
100;RULT;2485;1;1;0;8.06
100;RULT;2476;1;1;0;8.06
100;RULT;2476;1;1;0;8.06
100;ILP;617685;1;1;0;0.00
100;ILP;558559;1;1;0;0.00
100;ILP;545681;1;1;0;0.00
100;ILP;552214;1;1;0;0.00
100;ILP;552101;1;1;0;0.00
100;ILP;545803;1;1;0;0.00
100;ILP;558832;1;1;0;0.00
100;ILP;545446;1;1;0;0.00
100;ILP;535985;1;1;0;0.00
100;ILP;561116;1;1;0;0.00
100;ILP;553898;1;1;0;0.00
100;ILP;536508;1;1;0;0.00
100;ILP;539660;1;1;0;0.00
100;ILP;526780;1;1;0;0.00
100;ILP;531644;1;1;0;0.00
100;ILP;545203;1;1;0;0.00
100;ILP;535072;1;1;0;0.00
100;ILP;547327;1;1;0;0.00
100;ILP;547874;1;1;0;0.00
100;ILP;553292;1;1;0;0.00
100;ILP;664955;1;1;0;0.00
100;ILP;591156;1;1;0;0.00
100;ILP;570444;1;1;0;0.00
100;ILP;593389;1;1;0;0.00
100;ILP;593167;1;1;0;0.00
100;ILP;557229;1;1;0;0.00
100;ILP;586901;1;1;0;0.00
100;ILP;565571;1;1;0;0.00
100;ILP;554094;1;1;0;0.00
100;ILP;574119;1;1;0;0.00
100;ILP;572695;1;1;0;0.00
100;ILP;572645;1;1;0;0.00
100;ILP;566422;1;1;0;0.00
100;ILP;563991;1;1;0;0.00
100;ILP;573455;1;1;0;0.00
100;ILP;562943;1;1;0;0.00
100;ILP;571304;1;1;0;0.00
100;ILP;563652;1;1;0;0.00
100;ILP;574531;1;1;0;0.00
100;ILP;560231;1;1;0;0.00
100;ILP;551052;1;1;0;0.00
100;ILP;501717;1;1;0;0.00
100;ILP;486091;1;1;0;0.00
100;ILP;483900;1;1;0;0.00
100;ILP;488861;1;1;0;0.00
100;ILP;483461;1;1;0;0.00
100;ILP;473438;1;1;0;0.00
100;ILP;482352;1;1;0;0.00
100;ILP;477529;1;1;0;0.00
100;ILP;481433;1;1;0;0.00
100;ILP;480741;1;1;0;0.00
100;ILP;481925;1;1;0;0.00
100;ILP;481995;1;1;0;0.00
100;ILP;481935;1;1;0;0.00
100;ILP;487113;1;1;0;0.00
100;ILP;481064;1;1;0;0.00
100;ILP;477686;1;1;0;0.00
100;ILP;485183;1;1;0;0.00
100;ILP;482387;1;1;0;0.00
100;ILP;475777;1;1;0;0.00
100;SCP;2489459;0;0;1;0.00
100;SCP;2488752;0;0;1;0.00
100;SCP;2498599;0;0;1;0.00
100;SCP;2489869;0;0;1;0.00
100;SCP;2489815;0;0;1;0.00
100;SCP;2529217;0;0;1;0.00
100;SCP;2491142;0;0;1;0.00
100;SCP;2533047;0;0;1;0.00
100;SCP;2489524;0;0;1;0.00
100;SCP;2495056;0;0;1;0.00
100;SCP;2519314;0;0;1;0.00
100;SCP;2519265;0;0;1;0.00
100;SCP;2497228;0;0;1;0.00
100;SCP;2486616;0;0;1;0.00
100;SCP;2487430;0;0;1;0.00
100;SCP;2527595;0;0;1;0.00
100;SCP;2521602;0;0;1;0.00
100;SCP;2529943;0;0;1;0.00
100;SCP;2521689;0;0;1;0.00
100;SCP;2520050;0;0;1;0.00
100;SCP;2460775;0;0;1;0.00
100;SCP;2467291;0;0;1;0.00
100;SCP;2461302;0;0;1;0.00
100;SCP;2403586;0;0;1;0.00
100;SCP;2395601;0;0;1;0.00
100;SCP;2472497;0;0;1;0.00
100;SCP;2457800;0;0;1;0.00
100;SCP;2469406;0;0;1;0.00
100;SCP;2458509;0;0;1;0.00
100;SCP;2458491;0;0;1;0.00
100;SCP;2453645;0;0;1;0.00
100;SCP;2468287;0;0;1;0.00
100;SCP;2457155;0;0;1;0.00
100;SCP;2458853;0;0;1;0.00
100;SCP;2459597;0;0;1;0.00
100;SCP;2458793;0;0;1;0.00
100;SCP;2460068;0;0;1;0.00
100;SCP;2465669;0;0;1;0.00
100;SCP;2455836;0;0;1;0.00
100;SCP;2461849;0;0;1;0.00
100;SCP;627096;1;1;0;0.00
100;SCP;626275;1;1;0;0.00
100;SCP;627719;1;1;0;0.00
100;SCP;621811;1;1;0;0.00
100;SCP;624142;1;1;0;0.00
100;SCP;620842;1;1;0;0.00
100;SCP;626919;1;1;0;0.00
100;SCP;622785;1;1;0;0.00
100;SCP;626963;1;1;0;0.00
100;SCP;627527;1;1;0;0.00
100;SCP;621714;1;1;0;0.00
100;SCP;633176;1;1;0;0.00
100;SCP;622057;1;1;0;0.00
100;SCP;627600;1;1;0;0.00
100;SCP;614524;1;1;0;0.00
100;SCP;626826;1;1;0;0.00
100;SCP;627871;1;1;0;0.00
100;SCP;632276;1;1;0;0.00
100;SCP;627252;1;1;0;0.00
100;SCP;628549;1;1;0;0.00
100;KAB;1162470;1;1;0;0.00
100;KAB;1162569;1;1;0;0.00
100;KAB;1162535;1;1;0;0.00
100;KAB;1162621;1;1;0;0.00
100;KAB;1162862;1;1;0;0.00
100;KAB;1161431;1;1;0;0.00
100;KAB;1161792;1;1;0;0.00
100;KAB;1162000;1;1;0;0.00
100;KAB;1162575;1;1;0;0.00
100;KAB;1162980;1;1;0;0.00
100;KAB;1163502;1;1;0;0.00
100;KAB;1162501;1;1;0;0.00
100;KAB;1161302;1;1;0;0.00
100;KAB;1161718;1;1;0;0.00
100;KAB;1161853;1;1;0;0.00
100;KAB;1162280;1;1;0;0.00
100;KAB;1169921;1;1;0;0.00
100;KAB;1163547;1;1;0;0.00
100;KAB;1162775;1;1;0;0.00
100;KAB;1161601;1;1;0;0.00
100;KAB;1151823;1;1;0;0.00
100;KAB;1150267;1;1;0;0.00
100;KAB;1148118;1;1;0;0.00
100;KAB;1150592;1;1;0;0.00
100;KAB;1150356;1;1;0;0.00
100;KAB;1148532;1;1;0;0.00
100;KAB;1148765;1;1;0;0.00
100;KAB;1150993;1;1;0;0.00
100;KAB;1150107;1;1;0;0.00
100;KAB;1150665;1;1;0;0.00
100;KAB;1150417;1;1;0;0.00
100;KAB;1149244;1;1;0;0.00
100;KAB;1150285;1;1;0;0.00
100;KAB;1148319;1;1;0;0.00
100;KAB;1149499;1;1;0;0.00
100;KAB;1149599;1;1;0;0.00
100;KAB;1153506;1;1;0;0.00
100;KAB;1149514;1;1;0;0.00
100;KAB;1147924;1;1;0;0.00
100;KAB;1147747;1;1;0;0.00
100;KAB;1151708;1;1;0;0.00
100;KAB;1152464;1;1;0;0.00
100;KAB;1152997;1;1;0;0.00
100;KAB;1152422;1;1;0;0.00
100;KAB;1151340;1;1;0;0.00
100;KAB;1150714;1;1;0;0.00
100;KAB;1150318;1;1;0;0.00
100;KAB;1151281;1;1;0;0.00
100;KAB;1151375;1;1;0;0.00
100;KAB;1150621;1;1;0;0.00
100;KAB;1151541;1;1;0;0.00
100;KAB;1151105;1;1;0;0.00
100;KAB;1151996;1;1;0;0.00
100;KAB;1151703;1;1;0;0.00
100;KAB;1151674;1;1;0;0.00
100;KAB;1152103;1;1;0;0.00
100;KAB;1152277;1;1;0;0.00
100;KAB;1150533;1;1;0;0.00
100;KAB;1150541;1;1;0;0.00
100;KAB;1150624;1;1;0;0.00
100;BFDC;717;1;1;0;4.03
100;BFDC;726;1;1;0;4.03
