Size;Method;Time;Status;Solution;Timeout;Scans
0.3998;RULT;2431;1;1;0;8.10
0.3998;RULT;2402;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2404;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2401;1;1;0;8.10
0.3998;RULT;2392;1;1;0;8.10
0.3998;RULT;2402;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2396;1;1;0;8.10
0.3998;RULT;2396;1;1;0;8.10
0.3998;RULT;2397;1;1;0;8.10
0.3998;RULT;2398;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2396;1;1;0;8.10
0.3998;RULT;2400;1;1;0;8.10
0.3998;RULT;2401;1;1;0;8.10
0.3998;RULT;2395;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2635;1;1;0;8.95
0.3998;RULT;2633;1;1;0;8.95
0.3998;RULT;2623;1;1;0;8.95
0.3998;RULT;2621;1;1;0;8.95
0.3998;RULT;2622;1;1;0;8.95
0.3998;RULT;2628;1;1;0;8.95
0.3998;RULT;2629;1;1;0;8.95
0.3998;RULT;2621;1;1;0;8.95
0.3998;RULT;2630;1;1;0;8.95
0.3998;RULT;2622;1;1;0;8.95
0.3998;RULT;2616;1;1;0;8.95
0.3998;RULT;2629;1;1;0;8.95
0.3998;RULT;2626;1;1;0;8.95
0.3998;RULT;2628;1;1;0;8.95
0.3998;RULT;2624;1;1;0;8.95
0.3998;RULT;2626;1;1;0;8.95
0.3998;RULT;2619;1;1;0;8.95
0.3998;RULT;2623;1;1;0;8.95
0.3998;RULT;2618;1;1;0;8.95
0.3998;RULT;2628;1;1;0;8.95
0.3998;RULT;2190;1;1;0;7.13
0.3998;RULT;2177;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;2183;1;1;0;7.13
0.3998;RULT;2186;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;2179;1;1;0;7.13
0.3998;RULT;2173;1;1;0;7.13
0.3998;RULT;2172;1;1;0;7.13
0.3998;RULT;2177;1;1;0;7.13
0.3998;RULT;2177;1;1;0;7.13
0.3998;RULT;2177;1;1;0;7.13
0.3998;RULT;2175;1;1;0;7.13
0.3998;RULT;2182;1;1;0;7.13
0.3998;RULT;2180;1;1;0;7.13
0.3998;RULT;2175;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;2173;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;ILP;57475;1;1;0;0.00
0.3998;ILP;56969;1;1;0;0.00
0.3998;ILP;56507;1;1;0;0.00
0.3998;ILP;58215;1;1;0;0.00
0.3998;ILP;57351;1;1;0;0.00
0.3998;ILP;57083;1;1;0;0.00
0.3998;ILP;57594;1;1;0;0.00
0.3998;ILP;56367;1;1;0;0.00
0.3998;ILP;57371;1;1;0;0.00
0.3998;ILP;56343;1;1;0;0.00
0.3998;ILP;57919;1;1;0;0.00
0.3998;ILP;58333;1;1;0;0.00
0.3998;ILP;57458;1;1;0;0.00
0.3998;ILP;57662;1;1;0;0.00
0.3998;ILP;57836;1;1;0;0.00
0.3998;ILP;56254;1;1;0;0.00
0.3998;ILP;58591;1;1;0;0.00
0.3998;ILP;57417;1;1;0;0.00
0.3998;ILP;57944;1;1;0;0.00
0.3998;ILP;57350;1;1;0;0.00
0.3998;ILP;53645;1;1;0;0.00
0.3998;ILP;54327;1;1;0;0.00
0.3998;ILP;53625;1;1;0;0.00
0.3998;ILP;53572;1;1;0;0.00
0.3998;ILP;53127;1;1;0;0.00
0.3998;ILP;53223;1;1;0;0.00
0.3998;ILP;53984;1;1;0;0.00
0.3998;ILP;52842;1;1;0;0.00
0.3998;ILP;53105;1;1;0;0.00
0.3998;ILP;53352;1;1;0;0.00
0.3998;ILP;53304;1;1;0;0.00
0.3998;ILP;53925;1;1;0;0.00
0.3998;ILP;53795;1;1;0;0.00
0.3998;ILP;53923;1;1;0;0.00
0.3998;ILP;52791;1;1;0;0.00
0.3998;ILP;52703;1;1;0;0.00
0.3998;ILP;53177;1;1;0;0.00
0.3998;ILP;53486;1;1;0;0.00
0.3998;ILP;53046;1;1;0;0.00
0.3998;ILP;52498;1;1;0;0.00
0.3998;ILP;54759;1;1;0;0.00
0.3998;ILP;54188;1;1;0;0.00
0.3998;ILP;55166;1;1;0;0.00
0.3998;ILP;54627;1;1;0;0.00
0.3998;ILP;54619;1;1;0;0.00
0.3998;ILP;54438;1;1;0;0.00
0.3998;ILP;54514;1;1;0;0.00
0.3998;ILP;55391;1;1;0;0.00
0.3998;ILP;55053;1;1;0;0.00
0.3998;ILP;53896;1;1;0;0.00
0.3998;ILP;54495;1;1;0;0.00
0.3998;ILP;55401;1;1;0;0.00
0.3998;ILP;54050;1;1;0;0.00
0.3998;ILP;55301;1;1;0;0.00
0.3998;ILP;55015;1;1;0;0.00
0.3998;ILP;54142;1;1;0;0.00
0.3998;ILP;54600;1;1;0;0.00
0.3998;ILP;54425;1;1;0;0.00
0.3998;ILP;55358;1;1;0;0.00
0.3998;ILP;54994;1;1;0;0.00
0.3998;CP;302955;1;1;0;0.00
0.3998;CP;303763;1;1;0;0.00
0.3998;CP;303676;1;1;0;0.00
0.3998;CP;302210;1;1;0;0.00
0.3998;CP;302514;1;1;0;0.00
0.3998;CP;294205;1;1;0;0.00
0.3998;CP;303050;1;1;0;0.00
0.3998;CP;304016;1;1;0;0.00
0.3998;CP;306080;1;1;0;0.00
0.3998;CP;303302;1;1;0;0.00
0.3998;CP;301493;1;1;0;0.00
0.3998;CP;303408;1;1;0;0.00
0.3998;CP;296357;1;1;0;0.00
0.3998;CP;302156;1;1;0;0.00
0.3998;CP;303017;1;1;0;0.00
0.3998;CP;307303;1;1;0;0.00
0.3998;CP;302903;1;1;0;0.00
0.3998;CP;303141;1;1;0;0.00
0.3998;CP;304273;1;1;0;0.00
0.3998;CP;303938;1;1;0;0.00
0.3998;CP;313596;1;1;0;0.00
0.3998;CP;313302;1;1;0;0.00
0.3998;CP;316565;1;1;0;0.00
0.3998;CP;319027;1;1;0;0.00
0.3998;CP;316843;1;1;0;0.00
0.3998;CP;312772;1;1;0;0.00
0.3998;CP;311332;1;1;0;0.00
0.3998;CP;312013;1;1;0;0.00
0.3998;CP;315979;1;1;0;0.00
0.3998;CP;323753;1;1;0;0.00
0.3998;CP;315415;1;1;0;0.00
0.3998;CP;313875;1;1;0;0.00
0.3998;CP;310546;1;1;0;0.00
0.3998;CP;311621;1;1;0;0.00
0.3998;CP;313612;1;1;0;0.00
0.3998;CP;314939;1;1;0;0.00
0.3998;CP;311555;1;1;0;0.00
0.3998;CP;313724;1;1;0;0.00
0.3998;CP;310316;1;1;0;0.00
0.3998;CP;310028;1;1;0;0.00
0.3998;CP;316895;1;1;0;0.00
0.3998;CP;316663;1;1;0;0.00
0.3998;CP;316573;1;1;0;0.00
0.3998;CP;316061;1;1;0;0.00
0.3998;CP;316445;1;1;0;0.00
0.3998;CP;315728;1;1;0;0.00
0.3998;CP;313666;1;1;0;0.00
0.3998;CP;317519;1;1;0;0.00
0.3998;CP;311011;1;1;0;0.00
0.3998;CP;313643;1;1;0;0.00
0.3998;CP;309444;1;1;0;0.00
0.3998;CP;308610;1;1;0;0.00
0.3998;CP;310857;1;1;0;0.00
0.3998;CP;309029;1;1;0;0.00
0.3998;CP;310274;1;1;0;0.00
0.3998;CP;309458;1;1;0;0.00
0.3998;CP;309670;1;1;0;0.00
0.3998;CP;309738;1;1;0;0.00
0.3998;CP;312351;1;1;0;0.00
0.3998;CP;307409;1;1;0;0.00
0.3998;SCP;208947;1;1;0;0.00
0.3998;SCP;210854;1;1;0;0.00
0.3998;SCP;213192;1;1;0;0.00
0.3998;SCP;210800;1;1;0;0.00
0.3998;SCP;211477;1;1;0;0.00
0.3998;SCP;209159;1;1;0;0.00
0.3998;SCP;209293;1;1;0;0.00
0.3998;SCP;211132;1;1;0;0.00
0.3998;SCP;209975;1;1;0;0.00
0.3998;SCP;212563;1;1;0;0.00
0.3998;SCP;209083;1;1;0;0.00
0.3998;SCP;210698;1;1;0;0.00
0.3998;SCP;211398;1;1;0;0.00
0.3998;SCP;209020;1;1;0;0.00
0.3998;SCP;209985;1;1;0;0.00
0.3998;SCP;211947;1;1;0;0.00
0.3998;SCP;209149;1;1;0;0.00
0.3998;SCP;209110;1;1;0;0.00
0.3998;SCP;210987;1;1;0;0.00
0.3998;SCP;209387;1;1;0;0.00
0.3998;SCP;338787;1;1;0;0.00
0.3998;SCP;341533;1;1;0;0.00
0.3998;SCP;339427;1;1;0;0.00
0.3998;SCP;343772;1;1;0;0.00
0.3998;SCP;341026;1;1;0;0.00
0.3998;SCP;338635;1;1;0;0.00
0.3998;SCP;341707;1;1;0;0.00
0.3998;SCP;340573;1;1;0;0.00
0.3998;SCP;341855;1;1;0;0.00
0.3998;SCP;339667;1;1;0;0.00
0.3998;SCP;338375;1;1;0;0.00
0.3998;SCP;341426;1;1;0;0.00
0.3998;SCP;337329;1;1;0;0.00
0.3998;SCP;339786;1;1;0;0.00
0.3998;SCP;340248;1;1;0;0.00
0.3998;SCP;338480;1;1;0;0.00
0.3998;SCP;335637;1;1;0;0.00
0.3998;SCP;334210;1;1;0;0.00
0.3998;SCP;337479;1;1;0;0.00
0.3998;SCP;336918;1;1;0;0.00
0.3998;SCP;277205;1;1;0;0.00
0.3998;SCP;276911;1;1;0;0.00
0.3998;SCP;277334;1;1;0;0.00
0.3998;SCP;279665;1;1;0;0.00
0.3998;SCP;279202;1;1;0;0.00
0.3998;SCP;276536;1;1;0;0.00
0.3998;SCP;277742;1;1;0;0.00
0.3998;SCP;277784;1;1;0;0.00
0.3998;SCP;277643;1;1;0;0.00
0.3998;SCP;277557;1;1;0;0.00
0.3998;SCP;276399;1;1;0;0.00
0.3998;SCP;277547;1;1;0;0.00
0.3998;SCP;277421;1;1;0;0.00
0.3998;SCP;277539;1;1;0;0.00
0.3998;SCP;276901;1;1;0;0.00
0.3998;SCP;277672;1;1;0;0.00
0.3998;SCP;276598;1;1;0;0.00
0.3998;SCP;276992;1;1;0;0.00
0.3998;SCP;277325;1;1;0;0.00
0.3998;SCP;278220;1;1;0;0.00
0.3998;KAB;636198;1;1;0;0.00
0.3998;KAB;635139;1;1;0;0.00
0.3998;KAB;634652;1;1;0;0.00
0.3998;KAB;635146;1;1;0;0.00
0.3998;KAB;635259;1;1;0;0.00
0.3998;KAB;634237;1;1;0;0.00
