Size;Method;Time;Status;Solution;Timeout;Scans
1601;ULT;445699;0;0;0;215.14
1601;ULT;448236;0;0;0;215.14
1601;ULT;448594;0;0;0;215.14
1601;ULT;448004;0;0;0;215.14
1601;ULT;448737;0;0;0;215.14
1601;ULT;448497;0;0;0;215.14
1601;ULT;448047;0;0;0;215.14
1601;ULT;448789;0;0;0;215.14
1601;ULT;448400;0;0;0;215.14
1601;ULT;450454;0;0;0;215.14
1601;ULT;450515;0;0;0;215.14
1601;ULT;447214;0;0;0;215.14
1601;ULT;446233;0;0;0;215.14
1601;ULT;445141;0;0;0;215.14
1601;ULT;445255;0;0;0;215.14
1601;ULT;445338;0;0;0;215.14
1601;ULT;444981;0;0;0;215.14
1601;ULT;450872;0;0;0;215.14
1601;ULT;451168;0;0;0;215.14
1601;ULT;451851;0;0;0;215.14
1601;ULT;295155;0;0;0;142.09
1601;ULT;296625;0;0;0;142.09
1601;ULT;296501;0;0;0;142.09
1601;ULT;295576;0;0;0;142.09
1601;ULT;295046;0;0;0;142.09
1601;ULT;296055;0;0;0;142.09
1601;ULT;296395;0;0;0;142.09
1601;ULT;295680;0;0;0;142.09
1601;ULT;295006;0;0;0;142.09
1601;ULT;295928;0;0;0;142.09
1601;ULT;296982;0;0;0;142.09
1601;ULT;295927;0;0;0;142.09
1601;ULT;297088;0;0;0;142.09
1601;ULT;293801;0;0;0;142.09
1601;ULT;296377;0;0;0;142.09
1601;ULT;293873;0;0;0;142.09
1601;ULT;295797;0;0;0;142.09
1601;ULT;296273;0;0;0;142.09
1601;ULT;293561;0;0;0;142.09
1601;ULT;295898;0;0;0;142.09
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;23;0;0;0;0.22
1601;RULT;15;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;RULT;14;0;0;0;0.09
1601;ILP;23218;0;0;0;0.00
1601;ILP;22499;0;0;0;0.00
1601;ILP;23715;0;0;0;0.00
1601;ILP;22619;0;0;0;0.00
1601;ILP;22578;0;0;0;0.00
1601;ILP;22406;0;0;0;0.00
1601;ILP;22640;0;0;0;0.00
1601;ILP;22569;0;0;0;0.00
1601;ILP;22588;0;0;0;0.00
1601;ILP;22809;0;0;0;0.00
1601;ILP;22484;0;0;0;0.00
1601;ILP;22557;0;0;0;0.00
1601;ILP;22456;0;0;0;0.00
1601;ILP;22531;0;0;0;0.00
1601;ILP;22309;0;0;0;0.00
1601;ILP;23077;0;0;0;0.00
1601;ILP;22347;0;0;0;0.00
1601;ILP;22538;0;0;0;0.00
1601;ILP;22418;0;0;0;0.00
1601;ILP;22469;0;0;0;0.00
1601;ILP;23021;0;0;0;0.00
1601;ILP;22329;0;0;0;0.00
1601;ILP;22139;0;0;0;0.00
1601;ILP;22694;0;0;0;0.00
1601;ILP;22204;0;0;0;0.00
1601;ILP;22142;0;0;0;0.00
1601;ILP;22091;0;0;0;0.00
1601;ILP;22251;0;0;0;0.00
1601;ILP;22104;0;0;0;0.00
1601;ILP;22096;0;0;0;0.00
1601;ILP;22188;0;0;0;0.00
1601;ILP;22363;0;0;0;0.00
1601;ILP;22680;0;0;0;0.00
1601;ILP;22404;0;0;0;0.00
1601;ILP;22666;0;0;0;0.00
1601;ILP;22700;0;0;0;0.00
1601;ILP;22615;0;0;0;0.00
1601;ILP;23003;0;0;0;0.00
1601;ILP;22406;0;0;0;0.00
1601;ILP;22189;0;0;0;0.00
1601;CP;172046;0;0;0;0.00
1601;CP;175743;0;0;0;0.00
1601;CP;173635;0;0;0;0.00
1601;CP;173685;0;0;0;0.00
1601;CP;172362;0;0;0;0.00
1601;CP;168597;0;0;0;0.00
1601;CP;174013;0;0;0;0.00
1601;CP;166845;0;0;0;0.00
1601;CP;163321;0;0;0;0.00
1601;CP;162793;0;0;0;0.00
1601;CP;164559;0;0;0;0.00
1601;CP;162584;0;0;0;0.00
1601;CP;160177;0;0;0;0.00
1601;CP;161145;0;0;0;0.00
