Size;Method;Time;Status;Solution;Timeout;Scans
0.6997;ULT;2000000;0;0;1;598.42
0.6997;ULT;2000001;0;0;1;591.07
0.6997;ULT;2000000;0;0;1;609.56
0.6997;ULT;2000001;0;0;1;602.22
0.6997;ULT;2000001;0;0;1;592.28
0.6997;ULT;2000001;0;0;1;605.26
0.6997;ULT;2000001;0;0;1;614.83
0.6997;ULT;2000001;0;0;1;604.14
0.6997;ULT;2000000;0;0;1;587.62
0.6997;ULT;2000001;0;0;1;598.01
0.6997;ULT;2000000;0;0;1;616.53
0.6997;ULT;2000000;0;0;1;583.19
0.6997;ULT;2000001;0;0;1;581.43
0.6997;ULT;2000001;0;0;1;586.46
0.6997;ULT;2000000;0;0;1;580.71
0.6997;ULT;2000001;0;0;1;586.03
0.6997;ULT;2000002;0;0;1;583.83
0.6997;ULT;2000000;0;0;1;579.76
0.6997;ULT;2000000;0;0;1;586.32
0.6997;ULT;2000001;0;0;1;581.03
0.6997;ULT;185898;0;0;0;56.03
0.6997;ULT;183497;0;0;0;56.03
0.6997;ULT;182264;0;0;0;56.03
0.6997;ULT;182475;0;0;0;56.03
0.6997;ULT;182952;0;0;0;56.03
0.6997;ULT;183092;0;0;0;56.03
0.6997;ULT;181727;0;0;0;56.03
0.6997;ULT;180189;0;0;0;56.03
0.6997;ULT;180254;0;0;0;56.03
0.6997;ULT;180455;0;0;0;56.03
0.6997;ULT;182664;0;0;0;56.03
0.6997;ULT;186790;0;0;0;56.03
0.6997;ULT;187842;0;0;0;56.03
0.6997;ULT;186578;0;0;0;56.03
0.6997;ULT;179720;0;0;0;56.03
0.6997;ULT;186660;0;0;0;56.03
0.6997;ULT;199461;0;0;0;56.03
0.6997;ULT;180617;0;0;0;56.03
0.6997;ULT;188616;0;0;0;56.03
0.6997;ULT;188505;0;0;0;56.03
0.6997;RULT;1378;0;0;0;5.41
0.6997;RULT;1340;0;0;0;5.41
0.6997;RULT;1350;0;0;0;5.41
0.6997;RULT;1342;0;0;0;5.41
0.6997;RULT;1348;0;0;0;5.41
0.6997;RULT;1346;0;0;0;5.41
0.6997;RULT;1350;0;0;0;5.41
0.6997;RULT;1345;0;0;0;5.41
0.6997;RULT;1349;0;0;0;5.41
0.6997;RULT;1341;0;0;0;5.41
0.6997;RULT;1349;0;0;0;5.41
0.6997;RULT;1343;0;0;0;5.41
0.6997;RULT;1346;0;0;0;5.41
0.6997;RULT;1344;0;0;0;5.41
0.6997;RULT;1347;0;0;0;5.41
0.6997;RULT;1344;0;0;0;5.41
0.6997;RULT;1348;0;0;0;5.41
0.6997;RULT;1347;0;0;0;5.41
0.6997;RULT;1351;0;0;0;5.41
0.6997;RULT;1344;0;0;0;5.41
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;18;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;18;0;0;0;0.10
0.6997;RULT;18;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;18;0;0;0;0.10
0.6997;RULT;23;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;18;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;19;0;0;0;0.10
0.6997;RULT;18;0;0;0;0.10
0.6997;RULT;18;0;0;0;0.10
0.6997;ILP;35627;0;0;0;0.00
0.6997;ILP;34425;0;0;0;0.00
0.6997;ILP;34488;0;0;0;0.00
0.6997;ILP;34516;0;0;0;0.00
0.6997;ILP;36090;0;0;0;0.00
0.6997;ILP;34382;0;0;0;0.00
