Size;Method;Time;Status;Solution;Timeout;Scans
0.3998;ULT;2000000;0;0;1;583.46
0.3998;ULT;2000000;0;0;1;583.99
0.3998;ULT;2000000;0;0;1;583.78
0.3998;ULT;2000000;0;0;1;581.27
0.3998;ULT;2000001;0;0;1;583.20
0.3998;ULT;2000000;0;0;1;583.23
0.3998;ULT;2000000;0;0;1;583.27
0.3998;ULT;2000001;0;0;1;583.06
0.3998;ULT;2000001;0;0;1;583.15
0.3998;ULT;2000001;0;0;1;583.00
0.3998;ULT;2000001;0;0;1;583.03
0.3998;ULT;2000000;0;0;1;582.97
0.3998;ULT;2000001;0;0;1;583.08
0.3998;ULT;2000000;0;0;1;582.85
0.3998;ULT;2000001;0;0;1;582.86
0.3998;ULT;2000001;0;0;1;582.77
0.3998;ULT;2000001;0;0;1;582.87
0.3998;ULT;2000001;0;0;1;582.70
0.3998;ULT;2000001;0;0;1;582.77
0.3998;ULT;2000000;0;0;1;582.83
0.3998;ULT;2000001;0;0;1;579.08
0.3998;ULT;2000001;0;0;1;579.17
0.3998;ULT;2000000;0;0;1;579.29
0.3998;ULT;2000001;0;0;1;569.94
0.3998;ULT;2000000;0;0;1;591.17
0.3998;ULT;2000001;0;0;1;591.59
0.3998;ULT;2000001;0;0;1;591.32
0.3998;ULT;2000001;0;0;1;591.53
0.3998;ULT;2000000;0;0;1;591.65
0.3998;ULT;2000000;0;0;1;591.61
0.3998;ULT;2000001;0;0;1;591.67
0.3998;ULT;2000001;0;0;1;591.65
0.3998;ULT;2000001;0;0;1;591.59
0.3998;ULT;2000000;0;0;1;591.68
0.3998;ULT;2000001;0;0;1;591.63
0.3998;ULT;2000001;0;0;1;591.59
0.3998;ULT;2000000;0;0;1;591.63
0.3998;ULT;2000000;0;0;1;591.58
0.3998;ULT;2000000;0;0;1;591.52
0.3998;ULT;2000001;0;0;1;595.33
0.3998;ULT;2000001;0;0;1;583.02
0.3998;ULT;2000001;0;0;1;582.96
0.3998;ULT;2000001;0;0;1;582.86
0.3998;ULT;2000000;0;0;1;582.97
0.3998;ULT;2000000;0;0;1;582.97
0.3998;ULT;2000000;0;0;1;582.98
0.3998;ULT;2000000;0;0;1;583.05
0.3998;ULT;2000001;0;0;1;583.07
0.3998;ULT;2000001;0;0;1;583.12
0.3998;ULT;2000000;0;0;1;583.12
0.3998;ULT;2000002;0;0;1;583.06
0.3998;ULT;2000000;0;0;1;583.01
0.3998;ULT;2000001;0;0;1;583.15
0.3998;ULT;2000001;0;0;1;583.05
0.3998;ULT;2000000;0;0;1;583.07
0.3998;ULT;2000000;0;0;1;583.11
0.3998;ULT;2000001;0;0;1;599.05
0.3998;ULT;2000000;0;0;1;599.25
0.3998;ULT;2000001;0;0;1;598.36
0.3998;ULT;2000001;0;0;1;597.66
0.3998;ULT;1432394;0;0;0;427.21
0.3998;ULT;1431388;0;0;0;427.21
0.3998;ULT;1424598;0;0;0;427.21
0.3998;ULT;1439697;0;0;0;427.21
0.3998;ULT;1433624;0;0;0;427.21
0.3998;ULT;1433530;0;0;0;427.21
0.3998;ULT;1424749;0;0;0;427.21
0.3998;ULT;1439272;0;0;0;427.21
0.3998;ULT;1437260;0;0;0;427.21
0.3998;ULT;1433678;0;0;0;427.21
0.3998;ULT;1427161;0;0;0;427.21
0.3998;ULT;1438759;0;0;0;427.21
0.3998;ULT;1442615;0;0;0;427.21
0.3998;ULT;1433336;0;0;0;427.21
0.3998;ULT;1430112;0;0;0;427.21
0.3998;ULT;1433265;0;0;0;427.21
0.3998;ULT;1441758;0;0;0;427.21
0.3998;ULT;1411531;0;0;0;427.21
0.3998;ULT;1422715;0;0;0;427.21
0.3998;ULT;1402304;0;0;0;427.21
0.3998;ULT;1859564;0;0;0;545.28
0.3998;ULT;1860550;0;0;0;545.28
0.3998;ULT;1829204;0;0;0;545.28
0.3998;ULT;1834859;0;0;0;545.28
0.3998;ULT;1818441;0;0;0;545.28
0.3998;ULT;1799974;0;0;0;545.28
0.3998;ULT;1758550;0;0;0;545.28
0.3998;ULT;1758799;0;0;0;545.28
0.3998;ULT;1758518;0;0;0;545.28
0.3998;ULT;1758772;0;0;0;545.28
0.3998;ULT;1758028;0;0;0;545.28
0.3998;ULT;1759797;0;0;0;545.28
0.3998;ULT;1758347;0;0;0;545.28
0.3998;ULT;1759144;0;0;0;545.28
0.3998;ULT;1758687;0;0;0;545.28
0.3998;ULT;1758192;0;0;0;545.28
0.3998;ULT;1758208;0;0;0;545.28
0.3998;ULT;1758671;0;0;0;545.28
0.3998;ULT;1758388;0;0;0;545.28
0.3998;ULT;1790100;0;0;0;545.28
0.3998;RULT;2431;1;1;0;8.10
0.3998;RULT;2402;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2404;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2401;1;1;0;8.10
0.3998;RULT;2392;1;1;0;8.10
0.3998;RULT;2402;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2396;1;1;0;8.10
0.3998;RULT;2396;1;1;0;8.10
0.3998;RULT;2397;1;1;0;8.10
0.3998;RULT;2398;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2396;1;1;0;8.10
0.3998;RULT;2400;1;1;0;8.10
0.3998;RULT;2401;1;1;0;8.10
0.3998;RULT;2395;1;1;0;8.10
0.3998;RULT;2399;1;1;0;8.10
0.3998;RULT;2635;1;1;0;8.95
0.3998;RULT;2633;1;1;0;8.95
0.3998;RULT;2623;1;1;0;8.95
0.3998;RULT;2621;1;1;0;8.95
0.3998;RULT;2622;1;1;0;8.95
0.3998;RULT;2628;1;1;0;8.95
0.3998;RULT;2629;1;1;0;8.95
0.3998;RULT;2621;1;1;0;8.95
0.3998;RULT;2630;1;1;0;8.95
0.3998;RULT;2622;1;1;0;8.95
0.3998;RULT;2616;1;1;0;8.95
0.3998;RULT;2629;1;1;0;8.95
0.3998;RULT;2626;1;1;0;8.95
0.3998;RULT;2628;1;1;0;8.95
0.3998;RULT;2624;1;1;0;8.95
0.3998;RULT;2626;1;1;0;8.95
0.3998;RULT;2619;1;1;0;8.95
0.3998;RULT;2623;1;1;0;8.95
0.3998;RULT;2618;1;1;0;8.95
0.3998;RULT;2628;1;1;0;8.95
0.3998;RULT;2190;1;1;0;7.13
0.3998;RULT;2177;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;2183;1;1;0;7.13
0.3998;RULT;2186;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;2179;1;1;0;7.13
0.3998;RULT;2173;1;1;0;7.13
0.3998;RULT;2172;1;1;0;7.13
0.3998;RULT;2177;1;1;0;7.13
0.3998;RULT;2177;1;1;0;7.13
0.3998;RULT;2177;1;1;0;7.13
0.3998;RULT;2175;1;1;0;7.13
0.3998;RULT;2182;1;1;0;7.13
0.3998;RULT;2180;1;1;0;7.13
0.3998;RULT;2175;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;2173;1;1;0;7.13
0.3998;RULT;2178;1;1;0;7.13
0.3998;RULT;64;0;0;0;0.68
0.3998;RULT;64;0;0;0;0.68
0.3998;RULT;69;0;0;0;0.68
0.3998;RULT;64;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;64;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;64;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;64;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;64;0;0;0;0.68
0.3998;RULT;63;0;0;0;0.68
0.3998;RULT;88;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;88;0;0;0;1.00
0.3998;RULT;86;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;86;0;0;0;1.00
0.3998;RULT;87;0;0;0;1.00
0.3998;RULT;98;0;0;0;1.00
0.3998;RULT;86;0;0;0;1.00
0.3998;RULT;86;0;0;0;1.00
0.3998;RULT;86;0;0;0;1.00
0.3998;RULT;86;0;0;0;1.00
0.3998;RULT;86;0;0;0;1.00
