Size;Method;Time;Status;Solution;Timeout;Scans
0.8000;ULT;2000000;0;0;1;3283.73
0.8000;ULT;2000001;0;0;1;3210.00
0.8000;ULT;2000000;0;0;1;3282.73
0.8000;ULT;2000000;0;0;1;3279.46
0.8000;ULT;2000000;0;0;1;3279.33
0.8000;ULT;2000000;0;0;1;3286.06
0.8000;ULT;2000000;0;0;1;3286.43
0.8000;ULT;2000000;0;0;1;3286.38
0.8000;ULT;2000000;0;0;1;3286.45
0.8000;ULT;2000000;0;0;1;3286.34
0.8000;ULT;2000000;0;0;1;3284.68
0.8000;ULT;2000000;0;0;1;3286.45
0.8000;ULT;2000000;0;0;1;3286.08
0.8000;ULT;2000000;0;0;1;3286.13
0.8000;ULT;2000000;0;0;1;3286.46
0.8000;ULT;2000000;0;0;1;3286.27
0.8000;ULT;2000000;0;0;1;3286.51
0.8000;ULT;2000000;0;0;1;3286.62
0.8000;ULT;2000000;0;0;1;3286.00
0.8000;ULT;2000000;0;0;1;3286.21
0.8000;ULT;2000000;0;0;1;3273.06
0.8000;ULT;2000000;0;0;1;3274.37
0.8000;ULT;2000000;0;0;1;3274.69
0.8000;ULT;2000000;0;0;1;3274.26
0.8000;ULT;2000000;0;0;1;3274.48
0.8000;ULT;2000000;0;0;1;3274.99
0.8000;ULT;2000000;0;0;1;3275.96
0.8000;ULT;2000000;0;0;1;3277.37
0.8000;ULT;2000000;0;0;1;3276.91
0.8000;ULT;2000000;0;0;1;3275.83
0.8000;ULT;2000000;0;0;1;3276.44
0.8000;ULT;2000000;0;0;1;3275.79
0.8000;ULT;2000000;0;0;1;3277.39
0.8000;ULT;2000000;0;0;1;3276.43
0.8000;ULT;2000000;0;0;1;3206.09
0.8000;ULT;2000000;0;0;1;3276.37
0.8000;ULT;2000000;0;0;1;3272.59
0.8000;ULT;2000000;0;0;1;3276.96
0.8000;ULT;2000000;0;0;1;3276.95
0.8000;ULT;2000000;0;0;1;3275.61
0.8000;ULT;2000000;0;0;1;3272.78
0.8000;ULT;2000000;0;0;1;3270.43
0.8000;ULT;2000000;0;0;1;3272.79
0.8000;ULT;2000000;0;0;1;3265.38
0.8000;ULT;2000000;0;0;1;3272.38
0.8000;ULT;2000000;0;0;1;3270.92
0.8000;ULT;2000000;0;0;1;3272.10
0.8000;ULT;2000000;0;0;1;3272.16
0.8000;ULT;2000000;0;0;1;3272.70
0.8000;ULT;2000000;0;0;1;3270.84
0.8000;ULT;2000000;0;0;1;3272.14
0.8000;ULT;2000000;0;0;1;3271.58
0.8000;ULT;2000000;0;0;1;3272.96
0.8000;ULT;2000000;0;0;1;3272.13
0.8000;ULT;2000000;0;0;1;3271.61
0.8000;ULT;2000000;0;0;1;3271.97
0.8000;ULT;2000000;0;0;1;3272.44
0.8000;ULT;2000000;0;0;1;3272.50
0.8000;ULT;2000000;0;0;1;3273.20
0.8000;ULT;2000000;0;0;1;3274.47
0.8000;ULT;2000000;0;0;1;3296.59
