Size;Method;Time;Status;Solution;Timeout;Scans
0.8000;RULT;20192;1;1;0;22.09
0.8000;RULT;18906;1;1;0;22.09
0.8000;RULT;18826;1;1;0;22.09
0.8000;RULT;18779;1;1;0;22.09
0.8000;RULT;18788;1;1;0;22.09
0.8000;RULT;18760;1;1;0;22.09
0.8000;RULT;18774;1;1;0;22.09
0.8000;RULT;18758;1;1;0;22.09
0.8000;RULT;18759;1;1;0;22.09
0.8000;RULT;18725;1;1;0;22.09
0.8000;RULT;18739;1;1;0;22.09
0.8000;RULT;18732;1;1;0;22.09
0.8000;RULT;18733;1;1;0;22.09
0.8000;RULT;18753;1;1;0;22.09
0.8000;RULT;18732;1;1;0;22.09
0.8000;RULT;18732;1;1;0;22.09
0.8000;RULT;18714;1;1;0;22.09
0.8000;RULT;18698;1;1;0;22.09
0.8000;RULT;18706;1;1;0;22.09
0.8000;RULT;18728;1;1;0;22.09
0.8000;RULT;20771;1;1;0;22.80
0.8000;RULT;18569;1;1;0;22.80
0.8000;RULT;17833;1;1;0;22.80
0.8000;RULT;18200;1;1;0;22.80
0.8000;RULT;17805;1;1;0;22.80
0.8000;RULT;17661;1;1;0;22.80
0.8000;RULT;17626;1;1;0;22.80
0.8000;RULT;18374;1;1;0;22.80
0.8000;RULT;18002;1;1;0;22.80
0.8000;RULT;17691;1;1;0;22.80
0.8000;RULT;17477;1;1;0;22.80
0.8000;RULT;17337;1;1;0;22.80
0.8000;RULT;17272;1;1;0;22.80
0.8000;RULT;17266;1;1;0;22.80
0.8000;RULT;17692;1;1;0;22.80
0.8000;RULT;17578;1;1;0;22.80
0.8000;RULT;17606;1;1;0;22.80
0.8000;RULT;17529;1;1;0;22.80
0.8000;RULT;17389;1;1;0;22.80
0.8000;RULT;17234;1;1;0;22.80
0.8000;RULT;19741;1;1;0;22.75
0.8000;RULT;19198;1;1;0;22.75
0.8000;RULT;19112;1;1;0;22.75
0.8000;RULT;19207;1;1;0;22.75
0.8000;RULT;19149;1;1;0;22.75
0.8000;RULT;19114;1;1;0;22.75
0.8000;RULT;19063;1;1;0;22.75
0.8000;RULT;22471;1;1;0;22.75
0.8000;RULT;19293;1;1;0;22.75
0.8000;RULT;19146;1;1;0;22.75
0.8000;RULT;19145;1;1;0;22.75
0.8000;RULT;19094;1;1;0;22.75
0.8000;RULT;19124;1;1;0;22.75
0.8000;RULT;19164;1;1;0;22.75
0.8000;RULT;19032;1;1;0;22.75
0.8000;RULT;19129;1;1;0;22.75
0.8000;RULT;19094;1;1;0;22.75
0.8000;RULT;19267;1;1;0;22.75
0.8000;RULT;19122;1;1;0;22.75
0.8000;RULT;19041;1;1;0;22.75
0.8000;ILP;849211;1;1;0;0.00
0.8000;ILP;845976;1;1;0;0.00
0.8000;ILP;842143;1;1;0;0.00
0.8000;ILP;837675;1;1;0;0.00
0.8000;ILP;836969;1;1;0;0.00
0.8000;ILP;839750;1;1;0;0.00
0.8000;ILP;836602;1;1;0;0.00
0.8000;ILP;834880;1;1;0;0.00
0.8000;ILP;843732;1;1;0;0.00
0.8000;ILP;836439;1;1;0;0.00
0.8000;ILP;840842;1;1;0;0.00
0.8000;ILP;834013;1;1;0;0.00
0.8000;ILP;838416;1;1;0;0.00
0.8000;ILP;833754;1;1;0;0.00
0.8000;ILP;838753;1;1;0;0.00
0.8000;ILP;838323;1;1;0;0.00
0.8000;ILP;834266;1;1;0;0.00
0.8000;ILP;835492;1;1;0;0.00
0.8000;ILP;838639;1;1;0;0.00
0.8000;ILP;836893;1;1;0;0.00
0.8000;ILP;844881;1;1;0;0.00
0.8000;ILP;828073;1;1;0;0.00
0.8000;ILP;818680;1;1;0;0.00
0.8000;ILP;837768;1;1;0;0.00
0.8000;ILP;818248;1;1;0;0.00
0.8000;ILP;830972;1;1;0;0.00
0.8000;ILP;805829;1;1;0;0.00
0.8000;ILP;830151;1;1;0;0.00
0.8000;ILP;814711;1;1;0;0.00
0.8000;ILP;847731;1;1;0;0.00
0.8000;ILP;817264;1;1;0;0.00
0.8000;ILP;857603;1;1;0;0.00
0.8000;ILP;818459;1;1;0;0.00
0.8000;ILP;822042;1;1;0;0.00
0.8000;ILP;826432;1;1;0;0.00
0.8000;ILP;823166;1;1;0;0.00
0.8000;ILP;826597;1;1;0;0.00
0.8000;ILP;819679;1;1;0;0.00
0.8000;ILP;830827;1;1;0;0.00
0.8000;ILP;813875;1;1;0;0.00
0.8000;ILP;848752;1;1;0;0.00
0.8000;ILP;841698;1;1;0;0.00
0.8000;ILP;844273;1;1;0;0.00
0.8000;ILP;832401;1;1;0;0.00
0.8000;ILP;796311;1;1;0;0.00
0.8000;ILP;803242;1;1;0;0.00
0.8000;ILP;798687;1;1;0;0.00
0.8000;ILP;798261;1;1;0;0.00
0.8000;ILP;802413;1;1;0;0.00
0.8000;ILP;822728;1;1;0;0.00
0.8000;ILP;808139;1;1;0;0.00
0.8000;ILP;803599;1;1;0;0.00
0.8000;ILP;801071;1;1;0;0.00
0.8000;ILP;783542;1;1;0;0.00
0.8000;ILP;794093;1;1;0;0.00
0.8000;ILP;806447;1;1;0;0.00
0.8000;ILP;796451;1;1;0;0.00
0.8000;ILP;807601;1;1;0;0.00
0.8000;ILP;805332;1;1;0;0.00
0.8000;ILP;797196;1;1;0;0.00
0.8000;BFDC;3133;1;1;0;4.57
0.8000;BFDC;2942;1;1;0;4.57
0.8000;BFDC;2910;1;1;0;4.57
0.8000;BFDC;2906;1;1;0;4.57
