Size;Method;Time;Status;Solution;Timeout;Scans
60;RULT;31031;1;1;0;92.25
60;RULT;31024;1;1;0;92.25
60;RULT;31095;1;1;0;92.25
60;RULT;31099;1;1;0;92.25
60;RULT;31089;1;1;0;92.25
60;RULT;30990;1;1;0;92.25
60;RULT;30997;1;1;0;92.25
60;RULT;30989;1;1;0;92.25
60;RULT;31062;1;1;0;92.25
60;RULT;31059;1;1;0;92.25
60;RULT;31071;1;1;0;92.25
60;RULT;30997;1;1;0;92.25
60;RULT;30984;1;1;0;92.25
60;RULT;31116;1;1;0;92.25
60;RULT;31065;1;1;0;92.25
60;RULT;31832;1;1;0;92.25
60;RULT;31053;1;1;0;92.25
60;RULT;31146;1;1;0;92.25
60;RULT;31134;1;1;0;92.25
60;RULT;31110;1;1;0;92.25
60;RULT;29340;1;1;0;87.08
60;RULT;29254;1;1;0;87.08
60;RULT;29255;1;1;0;87.08
60;RULT;29224;1;1;0;87.08
60;RULT;29256;1;1;0;87.08
60;RULT;29253;1;1;0;87.08
60;RULT;29224;1;1;0;87.08
60;RULT;29267;1;1;0;87.08
60;RULT;29252;1;1;0;87.08
60;RULT;29241;1;1;0;87.08
60;RULT;29242;1;1;0;87.08
60;RULT;29230;1;1;0;87.08
60;RULT;29225;1;1;0;87.08
60;RULT;29281;1;1;0;87.08
60;RULT;29242;1;1;0;87.08
60;RULT;29237;1;1;0;87.08
60;RULT;29231;1;1;0;87.08
60;RULT;29230;1;1;0;87.08
60;RULT;29243;1;1;0;87.08
60;RULT;30060;1;1;0;87.08
60;RULT;33606;1;1;0;100.24
60;RULT;33540;1;1;0;100.24
60;RULT;33560;1;1;0;100.24
60;RULT;33596;1;1;0;100.24
60;RULT;33599;1;1;0;100.24
60;RULT;33538;1;1;0;100.24
60;RULT;33556;1;1;0;100.24
60;RULT;33553;1;1;0;100.24
60;RULT;33568;1;1;0;100.24
60;RULT;33556;1;1;0;100.24
60;RULT;33536;1;1;0;100.24
60;RULT;33570;1;1;0;100.24
60;RULT;33563;1;1;0;100.24
60;RULT;33565;1;1;0;100.24
60;RULT;33564;1;1;0;100.24
60;RULT;33534;1;1;0;100.24
60;RULT;34283;1;1;0;100.24
60;RULT;33573;1;1;0;100.24
60;RULT;33534;1;1;0;100.24
60;RULT;33545;1;1;0;100.24
60;ILP;1061193;1;1;0;0.00
60;ILP;984838;1;1;0;0.00
60;ILP;973155;1;1;0;0.00
60;ILP;975335;1;1;0;0.00
60;ILP;988328;1;1;0;0.00
60;ILP;982782;1;1;0;0.00
60;ILP;981751;1;1;0;0.00
60;ILP;980217;1;1;0;0.00
60;ILP;982783;1;1;0;0.00
60;ILP;983424;1;1;0;0.00
60;ILP;982003;1;1;0;0.00
60;ILP;982278;1;1;0;0.00
60;ILP;981327;1;1;0;0.00
60;ILP;985756;1;1;0;0.00
60;ILP;990688;1;1;0;0.00
60;ILP;985174;1;1;0;0.00
60;ILP;986377;1;1;0;0.00
60;ILP;973868;1;1;0;0.00
60;ILP;989183;1;1;0;0.00
60;ILP;992646;1;1;0;0.00
60;ILP;1173198;1;1;0;0.00
60;ILP;1097150;1;1;0;0.00
60;ILP;1083610;1;1;0;0.00
60;ILP;1099793;1;1;0;0.00
60;ILP;1080497;1;1;0;0.00
60;ILP;1096574;1;1;0;0.00
60;ILP;1079894;1;1;0;0.00
60;ILP;1094449;1;1;0;0.00
60;ILP;1081715;1;1;0;0.00
60;ILP;1096881;1;1;0;0.00
60;ILP;1083417;1;1;0;0.00
60;ILP;1092371;1;1;0;0.00
60;ILP;1087063;1;1;0;0.00
60;ILP;1093212;1;1;0;0.00
60;ILP;1094631;1;1;0;0.00
60;ILP;1098020;1;1;0;0.00
60;ILP;1059843;1;1;0;0.00
60;ILP;1085916;1;1;0;0.00
60;ILP;1090187;1;1;0;0.00
60;ILP;1080489;1;1;0;0.00
60;ILP;1171505;1;1;0;0.00
60;ILP;1100708;1;1;0;0.00
60;ILP;1111654;1;1;0;0.00
60;ILP;1197457;1;1;0;0.00
60;ILP;1108195;1;1;0;0.00
60;ILP;1056009;1;1;0;0.00
60;ILP;1077938;1;1;0;0.00
60;ILP;1056213;1;1;0;0.00
60;ILP;1058518;1;1;0;0.00
60;ILP;1067366;1;1;0;0.00
60;ILP;1052288;1;1;0;0.00
60;ILP;1054446;1;1;0;0.00
60;ILP;1054612;1;1;0;0.00
60;ILP;1054546;1;1;0;0.00
60;ILP;1056202;1;1;0;0.00
60;ILP;1053455;1;1;0;0.00
60;ILP;1054626;1;1;0;0.00
60;ILP;1056128;1;1;0;0.00
60;ILP;1084145;1;1;0;0.00
60;ILP;1097197;1;1;0;0.00
60;CP;1999810;0;0;1;0.00
60;CP;2001918;0;0;1;0.00
60;CP;1994135;0;0;1;0.00
60;CP;1993019;0;0;1;0.00
60;CP;1997254;0;0;1;0.00
60;CP;2004462;0;0;1;0.00
60;CP;1997346;0;0;1;0.00
60;CP;2001584;0;0;1;0.00
60;CP;2001502;0;0;1;0.00
60;CP;2001732;0;0;1;0.00
60;CP;1998414;0;0;1;0.00
60;CP;1995566;0;0;1;0.00
60;CP;1996644;0;0;1;0.00
60;CP;2002192;0;0;1;0.00
60;CP;2002150;0;0;1;0.00
60;CP;2001158;0;0;1;0.00
60;CP;2001785;0;0;1;0.00
60;CP;2001130;0;0;1;0.00
60;CP;2001497;0;0;1;0.00
60;CP;2000672;0;0;1;0.00
60;CP;1949326;1;1;0;0.00
60;CP;1900226;1;1;0;0.00
60;CP;1885331;1;1;0;0.00
60;CP;1899240;1;1;0;0.00
60;CP;1896013;1;1;0;0.00
60;CP;1914915;1;1;0;0.00
60;CP;1887434;1;1;0;0.00
60;CP;1895456;1;1;0;0.00
60;CP;1898629;1;1;0;0.00
60;CP;1918724;1;1;0;0.00
60;CP;1938439;1;1;0;0.00
60;CP;1923628;1;1;0;0.00
60;CP;1928458;1;1;0;0.00
60;CP;1923043;1;1;0;0.00
60;CP;1923465;1;1;0;0.00
60;CP;1934776;1;1;0;0.00
60;CP;1930714;1;1;0;0.00
60;CP;1946005;1;1;0;0.00
60;CP;1925662;1;1;0;0.00
60;CP;1932338;1;1;0;0.00
60;CP;2004280;0;0;1;0.00
60;CP;1998759;0;0;1;0.00
60;CP;2004042;0;0;1;0.00
60;CP;2005631;0;0;1;0.00
60;CP;1998864;0;0;1;0.00
60;CP;1999256;0;0;1;0.00
60;CP;2003163;0;0;1;0.00
60;CP;2000448;0;0;1;0.00
60;CP;2000587;0;0;1;0.00
60;CP;2002607;0;0;1;0.00
60;CP;2005806;0;0;1;0.00
60;CP;1999387;0;0;1;0.00
60;CP;2003230;0;0;1;0.00
60;CP;1999751;0;0;1;0.00
60;CP;2003681;0;0;1;0.00
60;CP;2001699;0;0;1;0.00
60;CP;2003164;0;0;1;0.00
60;CP;2000831;0;0;1;0.00
60;CP;2000557;0;0;1;0.00
60;CP;2001728;0;0;1;0.00
60;SCP;259569;1;1;0;0.00
60;SCP;259065;1;1;0;0.00
60;SCP;259747;1;1;0;0.00
60;SCP;259472;1;1;0;0.00
60;SCP;262837;1;1;0;0.00
60;SCP;259179;1;1;0;0.00
60;SCP;257559;1;1;0;0.00
60;SCP;257793;1;1;0;0.00
60;SCP;260402;1;1;0;0.00
60;SCP;259269;1;1;0;0.00
60;SCP;258363;1;1;0;0.00
60;SCP;260474;1;1;0;0.00
60;SCP;260406;1;1;0;0.00
60;SCP;258691;1;1;0;0.00
60;SCP;254129;1;1;0;0.00
60;SCP;256135;1;1;0;0.00
60;SCP;260204;1;1;0;0.00
60;SCP;259872;1;1;0;0.00
60;SCP;258831;1;1;0;0.00
60;SCP;263854;1;1;0;0.00
60;SCP;264768;1;1;0;0.00
60;SCP;264070;1;1;0;0.00
60;SCP;266822;1;1;0;0.00
60;SCP;265050;1;1;0;0.00
60;SCP;261913;1;1;0;0.00
60;SCP;262188;1;1;0;0.00
