Size;Method;Time;Status;Solution;Timeout;Scans
0.8000;RULT;8106;1;1;0;24.50
0.8000;RULT;8098;1;1;0;24.50
0.8000;RULT;8090;1;1;0;24.50
0.8000;RULT;8084;1;1;0;24.50
0.8000;RULT;8074;1;1;0;24.50
0.8000;RULT;8087;1;1;0;24.50
0.8000;RULT;8083;1;1;0;24.50
0.8000;RULT;8091;1;1;0;24.50
0.8000;RULT;8093;1;1;0;24.50
0.8000;RULT;8075;1;1;0;24.50
0.8000;RULT;8087;1;1;0;24.50
0.8000;RULT;8084;1;1;0;24.50
0.8000;RULT;8080;1;1;0;24.50
0.8000;RULT;8085;1;1;0;24.50
0.8000;RULT;8097;1;1;0;24.50
0.8000;RULT;8081;1;1;0;24.50
0.8000;RULT;8077;1;1;0;24.50
0.8000;RULT;8088;1;1;0;24.50
0.8000;RULT;8085;1;1;0;24.50
0.8000;RULT;8078;1;1;0;24.50
0.8000;RULT;6731;1;1;0;21.55
0.8000;RULT;6701;1;1;0;21.55
0.8000;RULT;6689;1;1;0;21.55
0.8000;RULT;6688;1;1;0;21.55
0.8000;RULT;6685;1;1;0;21.55
0.8000;RULT;6693;1;1;0;21.55
0.8000;RULT;6689;1;1;0;21.55
0.8000;RULT;6690;1;1;0;21.55
0.8000;RULT;6681;1;1;0;21.55
0.8000;RULT;6693;1;1;0;21.55
0.8000;RULT;6688;1;1;0;21.55
0.8000;RULT;6703;1;1;0;21.55
0.8000;RULT;6684;1;1;0;21.55
0.8000;RULT;6698;1;1;0;21.55
0.8000;RULT;6695;1;1;0;21.55
0.8000;RULT;6687;1;1;0;21.55
0.8000;RULT;6703;1;1;0;21.55
0.8000;RULT;6699;1;1;0;21.55
0.8000;RULT;6692;1;1;0;21.55
0.8000;RULT;6699;1;1;0;21.55
0.8000;RULT;7362;1;1;0;22.85
0.8000;RULT;7352;1;1;0;22.85
0.8000;RULT;7348;1;1;0;22.85
0.8000;RULT;7345;1;1;0;22.85
0.8000;RULT;7354;1;1;0;22.85
0.8000;RULT;7344;1;1;0;22.85
0.8000;RULT;7349;1;1;0;22.85
0.8000;RULT;7347;1;1;0;22.85
0.8000;RULT;7358;1;1;0;22.85
0.8000;RULT;7584;1;1;0;22.85
0.8000;RULT;7376;1;1;0;22.85
0.8000;RULT;7383;1;1;0;22.85
0.8000;RULT;7354;1;1;0;22.85
0.8000;RULT;7366;1;1;0;22.85
0.8000;RULT;7477;1;1;0;22.85
0.8000;RULT;7395;1;1;0;22.85
0.8000;RULT;7355;1;1;0;22.85
0.8000;RULT;7350;1;1;0;22.85
0.8000;RULT;7353;1;1;0;22.85
0.8000;RULT;7356;1;1;0;22.85
0.8000;ILP;148944;1;1;0;0.00
0.8000;ILP;148665;1;1;0;0.00
0.8000;ILP;147908;1;1;0;0.00
0.8000;ILP;147301;1;1;0;0.00
0.8000;ILP;148701;1;1;0;0.00
0.8000;ILP;147932;1;1;0;0.00
0.8000;ILP;149254;1;1;0;0.00
0.8000;ILP;148795;1;1;0;0.00
0.8000;ILP;147693;1;1;0;0.00
0.8000;ILP;147874;1;1;0;0.00
0.8000;ILP;145879;1;1;0;0.00
0.8000;ILP;148972;1;1;0;0.00
0.8000;ILP;148462;1;1;0;0.00
0.8000;ILP;147661;1;1;0;0.00
0.8000;ILP;147647;1;1;0;0.00
0.8000;ILP;147565;1;1;0;0.00
0.8000;ILP;147965;1;1;0;0.00
0.8000;ILP;148009;1;1;0;0.00
0.8000;ILP;148316;1;1;0;0.00
0.8000;ILP;148003;1;1;0;0.00
0.8000;ILP;154127;1;1;0;0.00
0.8000;ILP;153211;1;1;0;0.00
0.8000;ILP;153462;1;1;0;0.00
0.8000;ILP;153293;1;1;0;0.00
0.8000;ILP;154146;1;1;0;0.00
0.8000;ILP;153658;1;1;0;0.00
0.8000;ILP;152530;1;1;0;0.00
0.8000;ILP;150641;1;1;0;0.00
0.8000;ILP;154134;1;1;0;0.00
0.8000;ILP;154755;1;1;0;0.00
0.8000;ILP;153777;1;1;0;0.00
0.8000;ILP;154300;1;1;0;0.00
0.8000;ILP;153776;1;1;0;0.00
0.8000;ILP;154053;1;1;0;0.00
0.8000;ILP;153797;1;1;0;0.00
0.8000;ILP;153987;1;1;0;0.00
0.8000;ILP;153463;1;1;0;0.00
0.8000;ILP;153879;1;1;0;0.00
0.8000;ILP;155496;1;1;0;0.00
0.8000;ILP;152847;1;1;0;0.00
0.8000;ILP;158568;1;1;0;0.00
0.8000;ILP;157583;1;1;0;0.00
0.8000;ILP;159311;1;1;0;0.00
0.8000;ILP;157787;1;1;0;0.00
0.8000;ILP;158836;1;1;0;0.00
0.8000;ILP;157432;1;1;0;0.00
0.8000;ILP;159180;1;1;0;0.00
0.8000;ILP;159192;1;1;0;0.00
0.8000;ILP;158958;1;1;0;0.00
