Size;Method;Time;Status;Solution;Timeout;Scans
1600;RULT;1733;0;0;0;7.02
1600;RULT;1738;0;0;0;7.02
1600;RULT;1737;0;0;0;7.02
1600;RULT;1743;0;0;0;7.02
1600;RULT;1734;0;0;0;7.02
1600;RULT;1735;0;0;0;7.02
1600;RULT;1740;0;0;0;7.02
1600;RULT;1733;0;0;0;7.02
1600;RULT;1739;0;0;0;7.02
1600;RULT;1733;0;0;0;7.02
1600;RULT;1741;0;0;0;7.02
1600;RULT;1734;0;0;0;7.02
1600;RULT;1742;0;0;0;7.02
1600;RULT;1743;0;0;0;7.02
1600;RULT;1732;0;0;0;7.02
1600;RULT;1740;0;0;0;7.02
1600;RULT;1739;0;0;0;7.02
1600;RULT;1740;0;0;0;7.02
1600;RULT;1736;0;0;0;7.02
1600;RULT;1741;0;0;0;7.02
1600;RULT;2208;0;0;0;8.26
1600;RULT;2207;0;0;0;8.26
1600;RULT;2196;0;0;0;8.26
1600;RULT;2199;0;0;0;8.26
1600;RULT;2202;0;0;0;8.26
1600;RULT;2196;0;0;0;8.26
1600;RULT;2201;0;0;0;8.26
1600;RULT;2199;0;0;0;8.26
1600;RULT;2196;0;0;0;8.26
1600;RULT;2201;0;0;0;8.26
1600;RULT;2204;0;0;0;8.26
1600;RULT;2194;0;0;0;8.26
1600;RULT;2196;0;0;0;8.26
1600;RULT;2203;0;0;0;8.26
1600;RULT;2196;0;0;0;8.26
1600;RULT;2194;0;0;0;8.26
1600;RULT;2198;0;0;0;8.26
1600;RULT;2200;0;0;0;8.26
1600;RULT;2203;0;0;0;8.26
1600;RULT;2224;0;0;0;8.26
1600;ILP;156199;0;0;0;0.00
1600;ILP;156760;0;0;0;0.00
1600;ILP;156225;0;0;0;0.00
1600;ILP;157557;0;0;0;0.00
1600;ILP;156713;0;0;0;0.00
1600;ILP;156091;0;0;0;0.00
1600;ILP;156482;0;0;0;0.00
1600;ILP;155743;0;0;0;0.00
1600;ILP;157344;0;0;0;0.00
1600;ILP;156191;0;0;0;0.00
1600;ILP;156009;0;0;0;0.00
1600;ILP;156320;0;0;0;0.00
1600;ILP;155911;0;0;0;0.00
1600;ILP;156328;0;0;0;0.00
1600;ILP;156324;0;0;0;0.00
1600;ILP;156987;0;0;0;0.00
1600;ILP;156317;0;0;0;0.00
1600;ILP;156412;0;0;0;0.00
1600;ILP;156257;0;0;0;0.00
1600;ILP;156381;0;0;0;0.00
1600;ILP;181612;0;0;0;0.00
1600;ILP;158480;0;0;0;0.00
1600;ILP;157218;0;0;0;0.00
1600;ILP;157767;0;0;0;0.00
1600;ILP;157807;0;0;0;0.00
1600;ILP;158205;0;0;0;0.00
1600;ILP;157303;0;0;0;0.00
1600;ILP;156933;0;0;0;0.00
1600;ILP;157122;0;0;0;0.00
1600;ILP;157431;0;0;0;0.00
1600;ILP;157901;0;0;0;0.00
1600;ILP;158009;0;0;0;0.00
1600;ILP;157570;0;0;0;0.00
1600;ILP;158006;0;0;0;0.00
1600;ILP;156262;0;0;0;0.00
1600;ILP;156964;0;0;0;0.00
1600;ILP;157043;0;0;0;0.00
1600;ILP;156422;0;0;0;0.00
1600;ILP;158001;0;0;0;0.00
1600;ILP;157308;0;0;0;0.00
1600;CP;171218;0;0;0;0.00
1600;CP;173551;0;0;0;0.00
1600;CP;173497;0;0;0;0.00
1600;CP;173387;0;0;0;0.00
1600;CP;173946;0;0;0;0.00
1600;CP;172583;0;0;0;0.00
1600;CP;174956;0;0;0;0.00
1600;CP;176672;0;0;0;0.00
1600;CP;175603;0;0;0;0.00
1600;CP;175334;0;0;0;0.00
1600;CP;173880;0;0;0;0.00
1600;CP;175827;0;0;0;0.00
1600;CP;175423;0;0;0;0.00
1600;CP;176380;0;0;0;0.00
1600;CP;178749;0;0;0;0.00
1600;CP;176728;0;0;0;0.00
1600;CP;176413;0;0;0;0.00
1600;CP;176448;0;0;0;0.00
1600;CP;176232;0;0;0;0.00
1600;CP;175895;0;0;0;0.00
1600;CP;192276;0;0;0;0.00
1600;CP;171451;0;0;0;0.00
1600;CP;170166;0;0;0;0.00
1600;CP;172455;0;0;0;0.00
1600;CP;173217;0;0;0;0.00
1600;CP;172529;0;0;0;0.00
1600;CP;172288;0;0;0;0.00
1600;CP;172906;0;0;0;0.00
1600;CP;173646;0;0;0;0.00
1600;CP;174833;0;0;0;0.00
1600;CP;174561;0;0;0;0.00
1600;CP;173854;0;0;0;0.00
1600;CP;174086;0;0;0;0.00
1600;CP;172651;0;0;0;0.00
1600;CP;174692;0;0;0;0.00
1600;CP;176004;0;0;0;0.00
1600;CP;176522;0;0;0;0.00
1600;CP;176966;0;0;0;0.00
1600;CP;176427;0;0;0;0.00
1600;CP;176399;0;0;0;0.00
1600;SCP;60961;0;0;0;0.00
1600;SCP;60672;0;0;0;0.00
1600;SCP;61099;0;0;0;0.00
1600;SCP;60347;0;0;0;0.00
1600;SCP;60350;0;0;0;0.00
1600;SCP;60408;0;0;0;0.00
1600;SCP;60435;0;0;0;0.00
1600;SCP;60406;0;0;0;0.00
1600;SCP;60749;0;0;0;0.00
1600;SCP;60204;0;0;0;0.00
1600;SCP;60031;0;0;0;0.00
1600;SCP;60468;0;0;0;0.00
1600;SCP;60460;0;0;0;0.00
1600;SCP;60518;0;0;0;0.00
1600;SCP;59980;0;0;0;0.00
1600;SCP;60559;0;0;0;0.00
1600;SCP;60300;0;0;0;0.00
1600;SCP;60791;0;0;0;0.00
1600;SCP;60390;0;0;0;0.00
1600;SCP;60647;0;0;0;0.00
1600;SCP;59181;0;0;0;0.00
1600;SCP;59705;0;0;0;0.00
1600;SCP;60118;0;0;0;0.00
1600;SCP;59929;0;0;0;0.00
1600;SCP;60289;0;0;0;0.00
1600;SCP;59933;0;0;0;0.00
1600;SCP;59947;0;0;0;0.00
1600;SCP;60229;0;0;0;0.00
1600;SCP;60359;0;0;0;0.00
1600;SCP;59712;0;0;0;0.00
1600;SCP;60235;0;0;0;0.00
