Size;Method;Time;Status;Solution;Timeout;Scans
80;RULT;16738;0;0;0;61.56
80;RULT;16731;0;0;0;61.56
80;RULT;16731;0;0;0;61.56
80;RULT;16737;0;0;0;61.56
80;RULT;16745;0;0;0;61.56
80;RULT;16749;0;0;0;61.56
80;RULT;16746;0;0;0;61.56
80;RULT;16735;0;0;0;61.56
80;RULT;16722;0;0;0;61.56
80;RULT;16738;0;0;0;61.56
80;RULT;16745;0;0;0;61.56
80;RULT;16759;0;0;0;61.56
80;RULT;16754;0;0;0;61.56
80;RULT;16724;0;0;0;61.56
80;RULT;16744;0;0;0;61.56
80;RULT;16747;0;0;0;61.56
80;RULT;16741;0;0;0;61.56
80;RULT;16747;0;0;0;61.56
80;RULT;16730;0;0;0;61.56
80;RULT;16746;0;0;0;61.56
80;RULT;15712;0;0;0;62.97
80;RULT;15689;0;0;0;62.97
80;RULT;15731;0;0;0;62.97
80;RULT;15701;0;0;0;62.97
80;RULT;15698;0;0;0;62.97
80;RULT;15685;0;0;0;62.97
80;RULT;15688;0;0;0;62.97
80;RULT;15703;0;0;0;62.97
80;RULT;15701;0;0;0;62.97
80;RULT;15711;0;0;0;62.97
80;RULT;15703;0;0;0;62.97
80;RULT;15707;0;0;0;62.97
80;RULT;15685;0;0;0;62.97
80;RULT;15700;0;0;0;62.97
80;RULT;15697;0;0;0;62.97
80;RULT;15685;0;0;0;62.97
80;RULT;15699;0;0;0;62.97
80;RULT;15687;0;0;0;62.97
80;RULT;15671;0;0;0;62.97
80;RULT;15688;0;0;0;62.97
80;SCP;199390;0;0;0;0.00
80;SCP;197621;0;0;0;0.00
80;SCP;198492;0;0;0;0.00
80;SCP;196220;0;0;0;0.00
80;SCP;200722;0;0;0;0.00
80;SCP;201474;0;0;0;0.00
80;SCP;199722;0;0;0;0.00
80;SCP;199549;0;0;0;0.00
80;SCP;199670;0;0;0;0.00
80;SCP;199365;0;0;0;0.00
80;SCP;199873;0;0;0;0.00
80;SCP;197572;0;0;0;0.00
80;SCP;198401;0;0;0;0.00
80;SCP;197608;0;0;0;0.00
80;SCP;200366;0;0;0;0.00
80;SCP;200856;0;0;0;0.00
80;SCP;199606;0;0;0;0.00
80;SCP;199543;0;0;0;0.00
80;SCP;199725;0;0;0;0.00
80;SCP;199671;0;0;0;0.00
80;SCP;187171;0;0;0;0.00
80;SCP;187805;0;0;0;0.00
80;SCP;188211;0;0;0;0.00
80;SCP;191384;0;0;0;0.00
80;SCP;190860;0;0;0;0.00
80;SCP;190986;0;0;0;0.00
80;SCP;188253;0;0;0;0.00
80;SCP;186832;0;0;0;0.00
80;SCP;190570;0;0;0;0.00
80;SCP;191384;0;0;0;0.00
80;SCP;190464;0;0;0;0.00
80;SCP;189393;0;0;0;0.00
80;SCP;188941;0;0;0;0.00
80;SCP;190208;0;0;0;0.00
80;SCP;190306;0;0;0;0.00
80;SCP;190271;0;0;0;0.00
80;SCP;191278;0;0;0;0.00
80;SCP;188424;0;0;0;0.00
80;SCP;187616;0;0;0;0.00
80;SCP;188577;0;0;0;0.00
80;BFDC;1387;0;0;0;7.96
80;BFDC;1386;0;0;0;7.96
80;BFDC;1380;0;0;0;7.96
80;BFDC;1387;0;0;0;7.96
80;BFDC;1380;0;0;0;7.96
80;BFDC;1382;0;0;0;7.96
80;BFDC;1386;0;0;0;7.96
80;BFDC;1382;0;0;0;7.96
80;BFDC;1381;0;0;0;7.96
80;BFDC;1381;0;0;0;7.96
80;BFDC;1380;0;0;0;7.96
80;BFDC;1390;0;0;0;7.96
80;BFDC;1383;0;0;0;7.96
80;BFDC;1385;0;0;0;7.96
80;BFDC;1402;0;0;0;7.96
80;BFDC;1383;0;0;0;7.96
80;BFDC;1390;0;0;0;7.96
80;BFDC;1386;0;0;0;7.96
80;BFDC;1381;0;0;0;7.96
80;BFDC;1388;0;0;0;7.96
80;BFDC;940;0;0;0;5.49
80;BFDC;953;0;0;0;5.49
80;BFDC;947;0;0;0;5.49
80;BFDC;946;0;0;0;5.49
80;BFDC;946;0;0;0;5.49
80;BFDC;935;0;0;0;5.49
80;BFDC;935;0;0;0;5.49
80;BFDC;936;0;0;0;5.49
80;BFDC;943;0;0;0;5.49
80;BFDC;935;0;0;0;5.49
80;BFDC;936;0;0;0;5.49
80;BFDC;936;0;0;0;5.49
80;BFDC;949;0;0;0;5.49
80;BFDC;947;0;0;0;5.49
80;BFDC;948;0;0;0;5.49
80;BFDC;945;0;0;0;5.49
80;BFDC;941;0;0;0;5.49
80;BFDC;935;0;0;0;5.49
80;BFDC;937;0;0;0;5.49
80;BFDC;946;0;0;0;5.49
80;CRA;773307;0;0;0;2782.30
80;CRA;770125;0;0;0;2782.30
80;CRA;770358;0;0;0;2782.30
80;CRA;770156;0;0;0;2782.30
80;CRA;770263;0;0;0;2782.30
80;CRA;770192;0;0;0;2782.30
80;CRA;770197;0;0;0;2782.30
80;CRA;770181;0;0;0;2782.30
80;CRA;771806;0;0;0;2782.30
80;CRA;775819;0;0;0;2782.30
80;CRA;775689;0;0;0;2782.30
80;CRA;776267;0;0;0;2782.30
80;CRA;776026;0;0;0;2782.30
80;CRA;776046;0;0;0;2782.30
80;CRA;780523;0;0;0;2782.30
80;CRA;777255;0;0;0;2782.30
80;CRA;776926;0;0;0;2782.30
80;CRA;776965;0;0;0;2782.30
80;CRA;777207;0;0;0;2782.30
80;CRA;776460;0;0;0;2782.30
80;CRA;738158;0;0;0;2609.68
80;CRA;739086;0;0;0;2609.68
80;CRA;735546;0;0;0;2609.68
80;CRA;735959;0;0;0;2609.68
80;CRA;738871;0;0;0;2609.68
80;CRA;735699;0;0;0;2609.68
80;CRA;737239;0;0;0;2609.68
80;CRA;742088;0;0;0;2609.68
80;CRA;734746;0;0;0;2609.68
80;CRA;738061;0;0;0;2609.68
80;CRA;737414;0;0;0;2609.68
80;CRA;735274;0;0;0;2609.68
80;CRA;735509;0;0;0;2609.68
80;CRA;735528;0;0;0;2609.68
80;CRA;735287;0;0;0;2609.68
80;CRA;735344;0;0;0;2609.68
80;CRA;735444;0;0;0;2609.68
80;CRA;735280;0;0;0;2609.68
80;CRA;735064;0;0;0;2609.68
80;CRA;735069;0;0;0;2609.68
90;RULT;17745;0;0;0;61.05
90;RULT;17763;0;0;0;61.05
90;RULT;17707;0;0;0;61.05
90;RULT;17738;0;0;0;61.05
90;RULT;17711;0;0;0;61.05
90;RULT;17705;0;0;0;61.05
90;RULT;17744;0;0;0;61.05
90;RULT;17712;0;0;0;61.05
90;RULT;17719;0;0;0;61.05
90;RULT;17734;0;0;0;61.05
90;RULT;17716;0;0;0;61.05
90;RULT;17703;0;0;0;61.05
90;RULT;17716;0;0;0;61.05
90;RULT;17717;0;0;0;61.05
90;RULT;17719;0;0;0;61.05
90;RULT;17706;0;0;0;61.05
90;RULT;17710;0;0;0;61.05
90;RULT;17733;0;0;0;61.05
90;RULT;17725;0;0;0;61.05
90;RULT;17781;0;0;0;61.05
90;RULT;17567;0;0;0;66.83
90;RULT;17460;0;0;0;66.83
90;RULT;17479;0;0;0;66.83
90;RULT;17458;0;0;0;66.83
90;RULT;17470;0;0;0;66.83
90;RULT;17450;0;0;0;66.83
90;RULT;17458;0;0;0;66.83
90;RULT;17457;0;0;0;66.83
90;RULT;17478;0;0;0;66.83
90;RULT;17465;0;0;0;66.83
90;RULT;17474;0;0;0;66.83
90;RULT;17481;0;0;0;66.83
90;RULT;17458;0;0;0;66.83
90;RULT;17472;0;0;0;66.83
90;RULT;17448;0;0;0;66.83
90;RULT;17452;0;0;0;66.83
90;RULT;17459;0;0;0;66.83
90;RULT;17446;0;0;0;66.83
90;RULT;17452;0;0;0;66.83
90;RULT;17460;0;0;0;66.83
90;SCP;199872;0;0;0;0.00
90;SCP;202557;0;0;0;0.00
90;SCP;201294;0;0;0;0.00
