Size;Method;Time;Status;Solution;Timeout;Scans
12800;RULT;56985;1;1;0;22.19
12800;RULT;54390;1;1;0;22.19
12800;RULT;54404;1;1;0;22.19
12800;RULT;54366;1;1;0;22.19
12800;RULT;54285;1;1;0;22.19
12800;RULT;54214;1;1;0;22.19
12800;RULT;54209;1;1;0;22.19
12800;RULT;54236;1;1;0;22.19
12800;RULT;54233;1;1;0;22.19
12800;RULT;54175;1;1;0;22.19
12800;RULT;54199;1;1;0;22.19
12800;RULT;54163;1;1;0;22.19
12800;RULT;54171;1;1;0;22.19
12800;RULT;54134;1;1;0;22.19
12800;RULT;54149;1;1;0;22.19
12800;RULT;54088;1;1;0;22.19
12800;RULT;54075;1;1;0;22.19
12800;RULT;54061;1;1;0;22.19
12800;RULT;54025;1;1;0;22.19
12800;RULT;54016;1;1;0;22.19
12800;RULT;64001;1;1;0;25.74
12800;RULT;61199;1;1;0;25.74
12800;RULT;61158;1;1;0;25.74
12800;RULT;64745;1;1;0;25.74
12800;RULT;61253;1;1;0;25.74
12800;RULT;61210;1;1;0;25.74
12800;RULT;61171;1;1;0;25.74
12800;RULT;61202;1;1;0;25.74
12800;RULT;61166;1;1;0;25.74
12800;RULT;61118;1;1;0;25.74
12800;RULT;61142;1;1;0;25.74
12800;RULT;61161;1;1;0;25.74
12800;RULT;61158;1;1;0;25.74
12800;RULT;61183;1;1;0;25.74
12800;RULT;89703;1;1;0;25.74
12800;RULT;62729;1;1;0;25.74
12800;RULT;61241;1;1;0;25.74
12800;RULT;61138;1;1;0;25.74
12800;RULT;61144;1;1;0;25.74
12800;RULT;61182;1;1;0;25.74
12800;RULT;67778;1;1;0;22.81
12800;RULT;70507;1;1;0;22.81
12800;RULT;70668;1;1;0;22.81
12800;RULT;79369;1;1;0;22.81
12800;RULT;70792;1;1;0;22.81
12800;RULT;70938;1;1;0;22.81
12800;RULT;70951;1;1;0;22.81
12800;RULT;70768;1;1;0;22.81
12800;RULT;70739;1;1;0;22.81
12800;RULT;70624;1;1;0;22.81
12800;RULT;75630;1;1;0;22.81
12800;RULT;70504;1;1;0;22.81
12800;RULT;70778;1;1;0;22.81
12800;RULT;70697;1;1;0;22.81
12800;RULT;70406;1;1;0;22.81
12800;RULT;70582;1;1;0;22.81
12800;RULT;79038;1;1;0;22.81
12800;RULT;70578;1;1;0;22.81
12800;RULT;70590;1;1;0;22.81
12800;RULT;70782;1;1;0;22.81
12800;RULT;13488;0;0;0;5.43
12800;RULT;13361;0;0;0;5.43
12800;RULT;13282;0;0;0;5.43
12800;RULT;13038;0;0;0;5.43
12800;RULT;13264;0;0;0;5.43
12800;RULT;12994;0;0;0;5.43
12800;RULT;13202;0;0;0;5.43
12800;RULT;13104;0;0;0;5.43
12800;RULT;12858;0;0;0;5.43
12800;RULT;12403;0;0;0;5.43
12800;RULT;12205;0;0;0;5.43
12800;RULT;11786;0;0;0;5.43
12800;RULT;11557;0;0;0;5.43
12800;RULT;12729;0;0;0;5.43
12800;RULT;12145;0;0;0;5.43
12800;RULT;13263;0;0;0;5.43
12800;RULT;12918;0;0;0;5.43
12800;RULT;12266;0;0;0;5.43
12800;RULT;11941;0;0;0;5.43
12800;RULT;11814;0;0;0;5.43
12800;RULT;24197;0;0;0;8.49
12800;RULT;21457;0;0;0;8.49
12800;RULT;21421;0;0;0;8.49
12800;RULT;21420;0;0;0;8.49
12800;RULT;21412;0;0;0;8.49
12800;RULT;21408;0;0;0;8.49
12800;RULT;21416;0;0;0;8.49
12800;RULT;21378;0;0;0;8.49
12800;RULT;21363;0;0;0;8.49
12800;RULT;21368;0;0;0;8.49
12800;RULT;21345;0;0;0;8.49
12800;RULT;21357;0;0;0;8.49
12800;RULT;21344;0;0;0;8.49
12800;RULT;21339;0;0;0;8.49
12800;RULT;21303;0;0;0;8.49
12800;RULT;29477;0;0;0;8.49
12800;RULT;30651;0;0;0;8.49
12800;RULT;30627;0;0;0;8.49
12800;RULT;30351;0;0;0;8.49
12800;RULT;30420;0;0;0;8.49
12800;ILP;1209987;1;1;0;0.00
12800;ILP;1207193;1;1;0;0.00
12800;ILP;1211006;1;1;0;0.00
12800;ILP;1206520;1;1;0;0.00
12800;ILP;1196106;1;1;0;0.00
12800;ILP;1296907;1;1;0;0.00
12800;ILP;1312422;1;1;0;0.00
12800;ILP;1236606;1;1;0;0.00
12800;ILP;1219054;1;1;0;0.00
12800;ILP;1222835;1;1;0;0.00
12800;ILP;1230262;1;1;0;0.00
12800;ILP;1215507;1;1;0;0.00
12800;ILP;1222830;1;1;0;0.00
12800;ILP;1214614;1;1;0;0.00
12800;ILP;1206910;1;1;0;0.00
12800;ILP;1209493;1;1;0;0.00
12800;ILP;1198414;1;1;0;0.00
12800;ILP;1296239;1;1;0;0.00
12800;ILP;1310320;1;1;0;0.00
12800;ILP;1241136;1;1;0;0.00
12800;ILP;1202975;1;1;0;0.00
12800;ILP;1208444;1;1;0;0.00
12800;ILP;1212038;1;1;0;0.00
12800;ILP;1208443;1;1;0;0.00
12800;ILP;1207480;1;1;0;0.00
12800;ILP;1209033;1;1;0;0.00
12800;ILP;1203199;1;1;0;0.00
12800;ILP;1197076;1;1;0;0.00
12800;ILP;1221895;1;1;0;0.00
12800;ILP;1197325;1;1;0;0.00
12800;ILP;1217022;1;1;0;0.00
12800;ILP;1215036;1;1;0;0.00
12800;ILP;1189631;1;1;0;0.00
12800;ILP;1221595;1;1;0;0.00
12800;ILP;1223214;1;1;0;0.00
12800;ILP;1212765;1;1;0;0.00
12800;ILP;1211957;1;1;0;0.00
12800;ILP;1215945;1;1;0;0.00
12800;ILP;1220160;1;1;0;0.00
12800;ILP;1217241;1;1;0;0.00
12800;ILP;1334365;1;1;0;0.00
12800;ILP;1229825;1;1;0;0.00
12800;ILP;1233047;1;1;0;0.00
12800;ILP;1232292;1;1;0;0.00
12800;ILP;1234676;1;1;0;0.00
12800;ILP;1232856;1;1;0;0.00
12800;ILP;1238229;1;1;0;0.00
12800;ILP;1234770;1;1;0;0.00
12800;ILP;1226887;1;1;0;0.00
12800;ILP;1226797;1;1;0;0.00
12800;ILP;1237407;1;1;0;0.00
12800;ILP;1230459;1;1;0;0.00
12800;ILP;1224308;1;1;0;0.00
12800;ILP;1240783;1;1;0;0.00
12800;ILP;1223791;1;1;0;0.00
12800;ILP;1224901;1;1;0;0.00
12800;ILP;1231727;1;1;0;0.00
12800;ILP;1227172;1;1;0;0.00
12800;ILP;1235644;1;1;0;0.00
12800;ILP;1232758;1;1;0;0.00
12800;ILP;356883;0;0;0;0.00
12800;ILP;348348;0;0;0;0.00
12800;ILP;354562;0;0;0;0.00
12800;ILP;357354;0;0;0;0.00
12800;ILP;357390;0;0;0;0.00
12800;ILP;354015;0;0;0;0.00
12800;ILP;358687;0;0;0;0.00
12800;ILP;359965;0;0;0;0.00
12800;ILP;354957;0;0;0;0.00
12800;ILP;357778;0;0;0;0.00
12800;ILP;350848;0;0;0;0.00
12800;ILP;356344;0;0;0;0.00
12800;ILP;355286;0;0;0;0.00
12800;ILP;354985;0;0;0;0.00
12800;ILP;361230;0;0;0;0.00
12800;ILP;356369;0;0;0;0.00
12800;ILP;353396;0;0;0;0.00
12800;ILP;353213;0;0;0;0.00
12800;ILP;349077;0;0;0;0.00
12800;ILP;354097;0;0;0;0.00
12800;ILP;1590084;0;0;0;0.00
12800;ILP;1537629;0;0;0;0.00
12800;ILP;1478723;0;0;0;0.00
12800;ILP;1467435;0;0;0;0.00
12800;ILP;1472911;0;0;0;0.00
12800;ILP;1456115;0;0;0;0.00
12800;ILP;1464274;0;0;0;0.00
12800;ILP;1445661;0;0;0;0.00
12800;ILP;1447082;0;0;0;0.00
12800;ILP;1428459;0;0;0;0.00
12800;ILP;1596068;0;0;0;0.00
12800;ILP;1585211;0;0;0;0.00
12800;ILP;1463802;0;0;0;0.00
12800;ILP;1471442;0;0;0;0.00
12800;ILP;1465720;0;0;0;0.00
12800;ILP;1466081;0;0;0;0.00
12800;ILP;1458633;0;0;0;0.00
12800;ILP;1467695;0;0;0;0.00
12800;ILP;1440318;0;0;0;0.00
