Size;Method;Time;Status;Solution;Timeout;Scans
0.8000;RULT;8106;1;1;0;24.50
0.8000;RULT;8098;1;1;0;24.50
0.8000;RULT;8090;1;1;0;24.50
0.8000;RULT;8084;1;1;0;24.50
0.8000;RULT;8074;1;1;0;24.50
0.8000;RULT;8087;1;1;0;24.50
0.8000;RULT;8083;1;1;0;24.50
0.8000;RULT;8091;1;1;0;24.50
0.8000;RULT;8093;1;1;0;24.50
0.8000;RULT;8075;1;1;0;24.50
0.8000;RULT;8087;1;1;0;24.50
0.8000;RULT;8084;1;1;0;24.50
0.8000;RULT;8080;1;1;0;24.50
0.8000;RULT;8085;1;1;0;24.50
0.8000;RULT;8097;1;1;0;24.50
0.8000;RULT;8081;1;1;0;24.50
0.8000;RULT;8077;1;1;0;24.50
0.8000;RULT;8088;1;1;0;24.50
0.8000;RULT;8085;1;1;0;24.50
0.8000;RULT;8078;1;1;0;24.50
0.8000;RULT;6731;1;1;0;21.55
0.8000;RULT;6701;1;1;0;21.55
0.8000;RULT;6689;1;1;0;21.55
0.8000;RULT;6688;1;1;0;21.55
0.8000;RULT;6685;1;1;0;21.55
0.8000;RULT;6693;1;1;0;21.55
0.8000;RULT;6689;1;1;0;21.55
0.8000;RULT;6690;1;1;0;21.55
0.8000;RULT;6681;1;1;0;21.55
0.8000;RULT;6693;1;1;0;21.55
0.8000;RULT;6688;1;1;0;21.55
0.8000;RULT;6703;1;1;0;21.55
0.8000;RULT;6684;1;1;0;21.55
0.8000;RULT;6698;1;1;0;21.55
0.8000;RULT;6695;1;1;0;21.55
0.8000;RULT;6687;1;1;0;21.55
0.8000;RULT;6703;1;1;0;21.55
0.8000;RULT;6699;1;1;0;21.55
0.8000;RULT;6692;1;1;0;21.55
0.8000;RULT;6699;1;1;0;21.55
0.8000;RULT;7362;1;1;0;22.85
0.8000;RULT;7352;1;1;0;22.85
0.8000;RULT;7348;1;1;0;22.85
0.8000;RULT;7345;1;1;0;22.85
0.8000;RULT;7354;1;1;0;22.85
0.8000;RULT;7344;1;1;0;22.85
0.8000;RULT;7349;1;1;0;22.85
0.8000;RULT;7347;1;1;0;22.85
0.8000;RULT;7358;1;1;0;22.85
0.8000;RULT;7584;1;1;0;22.85
0.8000;RULT;7376;1;1;0;22.85
0.8000;RULT;7383;1;1;0;22.85
0.8000;RULT;7354;1;1;0;22.85
0.8000;RULT;7366;1;1;0;22.85
0.8000;RULT;7477;1;1;0;22.85
0.8000;RULT;7395;1;1;0;22.85
0.8000;RULT;7355;1;1;0;22.85
0.8000;RULT;7350;1;1;0;22.85
0.8000;RULT;7353;1;1;0;22.85
0.8000;RULT;7356;1;1;0;22.85
0.8000;RULT;1275;0;0;0;5.00
0.8000;RULT;1266;0;0;0;5.00
0.8000;RULT;1268;0;0;0;5.00
0.8000;RULT;1267;0;0;0;5.00
0.8000;RULT;1271;0;0;0;5.00
0.8000;RULT;1264;0;0;0;5.00
0.8000;RULT;1263;0;0;0;5.00
0.8000;RULT;1265;0;0;0;5.00
0.8000;RULT;1262;0;0;0;5.00
0.8000;RULT;1265;0;0;0;5.00
0.8000;RULT;1266;0;0;0;5.00
0.8000;RULT;1264;0;0;0;5.00
0.8000;RULT;1262;0;0;0;5.00
0.8000;RULT;1261;0;0;0;5.00
0.8000;RULT;1265;0;0;0;5.00
0.8000;RULT;1266;0;0;0;5.00
0.8000;RULT;1265;0;0;0;5.00
0.8000;RULT;1263;0;0;0;5.00
0.8000;RULT;1265;0;0;0;5.00
0.8000;RULT;1263;0;0;0;5.00
0.8000;RULT;1422;0;0;0;6.39
0.8000;RULT;1392;0;0;0;6.39
0.8000;RULT;1383;0;0;0;6.39
0.8000;RULT;1390;0;0;0;6.39
0.8000;RULT;1379;0;0;0;6.39
0.8000;RULT;1385;0;0;0;6.39
0.8000;RULT;1386;0;0;0;6.39
0.8000;RULT;1386;0;0;0;6.39
0.8000;RULT;1383;0;0;0;6.39
0.8000;RULT;1382;0;0;0;6.39
0.8000;RULT;1383;0;0;0;6.39
0.8000;RULT;1380;0;0;0;6.39
0.8000;RULT;1379;0;0;0;6.39
0.8000;RULT;1380;0;0;0;6.39
0.8000;RULT;1380;0;0;0;6.39
0.8000;RULT;1385;0;0;0;6.39
0.8000;RULT;1387;0;0;0;6.39
0.8000;RULT;1381;0;0;0;6.39
0.8000;RULT;1388;0;0;0;6.39
0.8000;RULT;1385;0;0;0;6.39
0.8000;ILP;148944;1;1;0;0.00
0.8000;ILP;148665;1;1;0;0.00
0.8000;ILP;147908;1;1;0;0.00
0.8000;ILP;147301;1;1;0;0.00
0.8000;ILP;148701;1;1;0;0.00
0.8000;ILP;147932;1;1;0;0.00
0.8000;ILP;149254;1;1;0;0.00
0.8000;ILP;148795;1;1;0;0.00
0.8000;ILP;147693;1;1;0;0.00
