Size;Method;Time;Status;Solution;Timeout;Scans
100;ULT;20;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;19;0;0;0;1.08
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;33;0;0;0;2.10
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;43;0;0;0;2.69
100;ULT;57;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;41;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;41;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;41;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;ULT;42;0;0;0;2.69
100;RULT;1;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;1;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;1;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;0;0;0;0;0.08
100;RULT;2;0;0;0;0.39
100;RULT;2;0;0;0;0.39
100;RULT;2;0;0;0;0.39
100;RULT;2;0;0;0;0.39
100;RULT;2;0;0;0;0.39
100;RULT;2;0;0;0;0.39
100;RULT;2;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;2;0;0;0;0.39
100;RULT;2;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;1;0;0;0;0.39
100;RULT;2;0;0;0;0.21
100;RULT;1;0;0;0;0.21
100;RULT;1;0;0;0;0.21
100;RULT;1;0;0;0;0.21
