Size;Method;Time;Status;Solution;Timeout;Scans
0.8000;ULT;2000000;0;0;1;3085.06
0.8000;ULT;2000000;0;0;1;3082.88
0.8000;ULT;2000000;0;0;1;3083.42
0.8000;ULT;2000000;0;0;1;3081.84
0.8000;ULT;2000000;0;0;1;3084.52
0.8000;ULT;2000000;0;0;1;3082.64
0.8000;ULT;2000000;0;0;1;3083.73
0.8000;ULT;2000000;0;0;1;3083.32
0.8000;ULT;2000000;0;0;1;3081.81
0.8000;ULT;2000000;0;0;1;3084.17
0.8000;ULT;2000000;0;0;1;3082.14
0.8000;ULT;2000000;0;0;1;3087.60
0.8000;ULT;2000000;0;0;1;3094.79
0.8000;ULT;2000000;0;0;1;3092.60
0.8000;ULT;2000000;0;0;1;3097.21
0.8000;ULT;2000000;0;0;1;3095.80
0.8000;ULT;2000000;0;0;1;3094.47
0.8000;ULT;2000000;0;0;1;3096.08
0.8000;ULT;2000000;0;0;1;3095.42
0.8000;ULT;2000000;0;0;1;3097.71
0.8000;ULT;2000000;0;0;1;3077.57
0.8000;ULT;2000000;0;0;1;3079.03
0.8000;ULT;2000000;0;0;1;3076.99
0.8000;ULT;2000000;0;0;1;3078.85
0.8000;ULT;2000000;0;0;1;3080.62
0.8000;ULT;2000000;0;0;1;3079.69
0.8000;ULT;2000000;0;0;1;3081.24
0.8000;ULT;2000000;0;0;1;3092.49
0.8000;ULT;2000000;0;0;1;3090.95
0.8000;ULT;2000000;0;0;1;3091.67
0.8000;ULT;2000000;0;0;1;3092.55
0.8000;ULT;2000000;0;0;1;3092.75
0.8000;ULT;2000000;0;0;1;3092.19
0.8000;ULT;2000000;0;0;1;3092.45
0.8000;ULT;2000000;0;0;1;3092.24
0.8000;ULT;2000000;0;0;1;3092.24
0.8000;ULT;2000000;0;0;1;3092.93
0.8000;ULT;2000000;0;0;1;3091.80
0.8000;ULT;2000000;0;0;1;3091.89
0.8000;ULT;2000000;0;0;1;3091.63
0.8000;ULT;2000000;0;0;1;3069.54
0.8000;ULT;2000000;0;0;1;3070.68
0.8000;ULT;2000000;0;0;1;3070.28
0.8000;ULT;2000000;0;0;1;3070.95
0.8000;ULT;2000000;0;0;1;3069.86
0.8000;ULT;2000000;0;0;1;3072.05
0.8000;ULT;2000000;0;0;1;3070.21
0.8000;ULT;2000000;0;0;1;3069.18
0.8000;ULT;2000000;0;0;1;3070.19
0.8000;ULT;2000000;0;0;1;3070.92
0.8000;ULT;2000000;0;0;1;3069.44
0.8000;ULT;2000000;0;0;1;3071.42
0.8000;ULT;2000000;0;0;1;3069.66
0.8000;ULT;2000000;0;0;1;3092.54
0.8000;ULT;2000000;0;0;1;3090.37
0.8000;ULT;2000000;0;0;1;3091.59
0.8000;ULT;2000000;0;0;1;3092.15
0.8000;ULT;2000000;0;0;1;3092.15
0.8000;ULT;2000000;0;0;1;3093.23
0.8000;ULT;2000000;0;0;1;3091.16
0.8000;ULT;14468;0;0;0;6.60
