Size;Method;Time;Status;Solution;Timeout;Scans
0.8000;RULT;10093;1;1;0;10.92
0.8000;RULT;8577;1;1;0;10.92
0.8000;RULT;8598;1;1;0;10.92
0.8000;RULT;8483;1;1;0;10.92
0.8000;RULT;8480;1;1;0;10.92
0.8000;RULT;8507;1;1;0;10.92
0.8000;RULT;8478;1;1;0;10.92
0.8000;RULT;8497;1;1;0;10.92
0.8000;RULT;8482;1;1;0;10.92
0.8000;RULT;8504;1;1;0;10.92
0.8000;RULT;8479;1;1;0;10.92
0.8000;RULT;8490;1;1;0;10.92
0.8000;RULT;8459;1;1;0;10.92
0.8000;RULT;8483;1;1;0;10.92
0.8000;RULT;8481;1;1;0;10.92
0.8000;RULT;8469;1;1;0;10.92
0.8000;RULT;8462;1;1;0;10.92
0.8000;RULT;8468;1;1;0;10.92
0.8000;RULT;8457;1;1;0;10.92
0.8000;RULT;8469;1;1;0;10.92
0.8000;RULT;8404;1;1;0;8.50
0.8000;RULT;7053;1;1;0;8.50
0.8000;RULT;7035;1;1;0;8.50
0.8000;RULT;7024;1;1;0;8.50
0.8000;RULT;7016;1;1;0;8.50
0.8000;RULT;7004;1;1;0;8.50
0.8000;RULT;6991;1;1;0;8.50
0.8000;RULT;7005;1;1;0;8.50
0.8000;RULT;10348;1;1;0;8.50
0.8000;RULT;7048;1;1;0;8.50
0.8000;RULT;7022;1;1;0;8.50
0.8000;RULT;6995;1;1;0;8.50
0.8000;RULT;7002;1;1;0;8.50
0.8000;RULT;6994;1;1;0;8.50
0.8000;RULT;6993;1;1;0;8.50
0.8000;RULT;6987;1;1;0;8.50
0.8000;RULT;7001;1;1;0;8.50
0.8000;RULT;6988;1;1;0;8.50
0.8000;RULT;6995;1;1;0;8.50
0.8000;RULT;6990;1;1;0;8.50
0.8000;RULT;11420;1;1;0;11.61
0.8000;RULT;10552;1;1;0;11.61
0.8000;RULT;10256;1;1;0;11.61
0.8000;RULT;10417;1;1;0;11.61
0.8000;RULT;10299;1;1;0;11.61
0.8000;RULT;10181;1;1;0;11.61
0.8000;RULT;10234;1;1;0;11.61
0.8000;RULT;10371;1;1;0;11.61
0.8000;RULT;10145;1;1;0;11.61
0.8000;RULT;10086;1;1;0;11.61
0.8000;RULT;10086;1;1;0;11.61
0.8000;RULT;10959;1;1;0;11.61
0.8000;RULT;11467;1;1;0;11.61
0.8000;RULT;11527;1;1;0;11.61
0.8000;RULT;11552;1;1;0;11.61
0.8000;RULT;11661;1;1;0;11.61
0.8000;RULT;10464;1;1;0;11.61
0.8000;RULT;10444;1;1;0;11.61
0.8000;RULT;10522;1;1;0;11.61
0.8000;RULT;10462;1;1;0;11.61
0.8000;ILP;1385555;1;1;0;0.00
0.8000;ILP;1386114;1;1;0;0.00
0.8000;ILP;1377660;1;1;0;0.00
0.8000;ILP;1354241;1;1;0;0.00
0.8000;ILP;1349777;1;1;0;0.00
0.8000;ILP;1399200;1;1;0;0.00
0.8000;ILP;1372657;1;1;0;0.00
0.8000;ILP;1377829;1;1;0;0.00
0.8000;ILP;1342699;1;1;0;0.00
0.8000;ILP;1373993;1;1;0;0.00
0.8000;ILP;1402598;1;1;0;0.00
0.8000;ILP;1383257;1;1;0;0.00
0.8000;ILP;1347123;1;1;0;0.00
0.8000;ILP;1359440;1;1;0;0.00
0.8000;ILP;1408039;1;1;0;0.00
0.8000;ILP;1373634;1;1;0;0.00
0.8000;ILP;1370287;1;1;0;0.00
0.8000;ILP;1356491;1;1;0;0.00
0.8000;ILP;1373814;1;1;0;0.00
0.8000;ILP;1402304;1;1;0;0.00
0.8000;ILP;1328753;1;1;0;0.00
0.8000;ILP;1297026;1;1;0;0.00
0.8000;ILP;1298712;1;1;0;0.00
0.8000;ILP;1297944;1;1;0;0.00
0.8000;ILP;1305210;1;1;0;0.00
0.8000;ILP;1301431;1;1;0;0.00
0.8000;ILP;1289870;1;1;0;0.00
0.8000;ILP;1283163;1;1;0;0.00
0.8000;ILP;1299110;1;1;0;0.00
0.8000;ILP;1340646;1;1;0;0.00
0.8000;ILP;1391421;1;1;0;0.00
0.8000;ILP;1306704;1;1;0;0.00
0.8000;ILP;1319094;1;1;0;0.00
0.8000;ILP;1308856;1;1;0;0.00
0.8000;ILP;1304022;1;1;0;0.00
