Size;Method;Time;Status;Solution;Timeout;Scans
20;RULT;2143;1;1;0;6.71
20;RULT;2109;1;1;0;6.71
20;RULT;2102;1;1;0;6.71
20;RULT;2098;1;1;0;6.71
20;RULT;2103;1;1;0;6.71
20;RULT;2102;1;1;0;6.71
20;RULT;2089;1;1;0;6.71
20;RULT;2095;1;1;0;6.71
20;RULT;2099;1;1;0;6.71
20;RULT;2101;1;1;0;6.71
20;RULT;2096;1;1;0;6.71
20;RULT;2101;1;1;0;6.71
20;RULT;2099;1;1;0;6.71
20;RULT;2091;1;1;0;6.71
20;RULT;2097;1;1;0;6.71
20;RULT;2104;1;1;0;6.71
20;RULT;2103;1;1;0;6.71
20;RULT;2098;1;1;0;6.71
20;RULT;2101;1;1;0;6.71
20;RULT;2100;1;1;0;6.71
20;RULT;3013;1;1;0;8.93
20;RULT;2973;1;1;0;8.93
20;RULT;2976;1;1;0;8.93
20;RULT;2966;1;1;0;8.93
20;RULT;2972;1;1;0;8.93
20;RULT;2977;1;1;0;8.93
20;RULT;2964;1;1;0;8.93
20;RULT;2962;1;1;0;8.93
20;RULT;2968;1;1;0;8.93
20;RULT;2960;1;1;0;8.93
20;RULT;2980;1;1;0;8.93
20;RULT;2965;1;1;0;8.93
20;RULT;2974;1;1;0;8.93
20;RULT;2968;1;1;0;8.93
20;RULT;2978;1;1;0;8.93
20;RULT;2973;1;1;0;8.93
20;RULT;2975;1;1;0;8.93
20;RULT;2973;1;1;0;8.93
20;RULT;2972;1;1;0;8.93
20;RULT;2973;1;1;0;8.93
20;RULT;2466;1;1;0;7.96
20;RULT;2451;1;1;0;7.96
20;RULT;2459;1;1;0;7.96
20;RULT;2459;1;1;0;7.96
20;RULT;2482;1;1;0;7.96
20;RULT;2453;1;1;0;7.96
20;RULT;2460;1;1;0;7.96
20;RULT;2467;1;1;0;7.96
20;RULT;2466;1;1;0;7.96
20;RULT;2471;1;1;0;7.96
20;RULT;2456;1;1;0;7.96
20;RULT;2453;1;1;0;7.96
20;RULT;2453;1;1;0;7.96
20;RULT;2456;1;1;0;7.96
20;RULT;2455;1;1;0;7.96
20;RULT;2452;1;1;0;7.96
20;RULT;2451;1;1;0;7.96
20;RULT;2456;1;1;0;7.96
20;RULT;2459;1;1;0;7.96
20;RULT;2471;1;1;0;7.96
20;ILP;230996;1;1;0;0.00
20;ILP;231505;1;1;0;0.00
20;ILP;231200;1;1;0;0.00
20;ILP;231826;1;1;0;0.00
20;ILP;231427;1;1;0;0.00
20;ILP;229076;1;1;0;0.00
20;ILP;223685;1;1;0;0.00
20;ILP;230696;1;1;0;0.00
20;ILP;230704;1;1;0;0.00
20;ILP;229971;1;1;0;0.00
20;ILP;230575;1;1;0;0.00
20;ILP;230574;1;1;0;0.00
20;ILP;231760;1;1;0;0.00
20;ILP;231062;1;1;0;0.00
20;ILP;222680;1;1;0;0.00
20;ILP;231613;1;1;0;0.00
20;ILP;230521;1;1;0;0.00
20;ILP;231469;1;1;0;0.00
20;ILP;230939;1;1;0;0.00
20;ILP;231697;1;1;0;0.00
20;ILP;207626;1;1;0;0.00
20;ILP;212776;1;1;0;0.00
20;ILP;212986;1;1;0;0.00
20;ILP;213085;1;1;0;0.00
20;ILP;213110;1;1;0;0.00
20;ILP;211754;1;1;0;0.00
20;ILP;213199;1;1;0;0.00
20;ILP;213178;1;1;0;0.00
20;ILP;211744;1;1;0;0.00
20;ILP;207786;1;1;0;0.00
20;ILP;213863;1;1;0;0.00
20;ILP;213810;1;1;0;0.00
20;ILP;213164;1;1;0;0.00
20;ILP;214713;1;1;0;0.00
20;ILP;213172;1;1;0;0.00
20;ILP;213291;1;1;0;0.00
20;ILP;213749;1;1;0;0.00
20;ILP;212852;1;1;0;0.00
20;ILP;206031;1;1;0;0.00
20;ILP;212533;1;1;0;0.00
20;ILP;236467;1;1;0;0.00
20;ILP;234172;1;1;0;0.00
20;ILP;234054;1;1;0;0.00
20;ILP;233748;1;1;0;0.00
20;ILP;231778;1;1;0;0.00
20;ILP;238300;1;1;0;0.00
20;ILP;234687;1;1;0;0.00
20;ILP;229586;1;1;0;0.00
20;ILP;236189;1;1;0;0.00
20;ILP;237146;1;1;0;0.00
20;ILP;230922;1;1;0;0.00
20;ILP;233567;1;1;0;0.00
20;ILP;237409;1;1;0;0.00
20;ILP;232068;1;1;0;0.00
20;ILP;237615;1;1;0;0.00
20;ILP;234792;1;1;0;0.00
20;ILP;232963;1;1;0;0.00
20;ILP;235509;1;1;0;0.00
20;ILP;236589;1;1;0;0.00
20;ILP;227588;1;1;0;0.00
20;CP;839287;1;1;0;0.00
20;CP;847335;1;1;0;0.00
20;CP;853577;1;1;0;0.00
20;CP;769937;1;1;0;0.00
20;CP;842513;1;1;0;0.00
20;CP;844554;1;1;0;0.00
20;CP;765596;1;1;0;0.00
20;CP;805258;1;1;0;0.00
20;CP;797884;1;1;0;0.00
20;CP;798047;1;1;0;0.00
20;CP;802183;1;1;0;0.00
20;CP;805060;1;1;0;0.00
20;CP;806691;1;1;0;0.00
20;CP;820571;1;1;0;0.00
20;CP;817340;1;1;0;0.00
20;CP;817877;1;1;0;0.00
20;CP;823519;1;1;0;0.00
20;CP;817437;1;1;0;0.00
20;CP;818785;1;1;0;0.00
20;CP;816677;1;1;0;0.00
20;CP;891242;1;1;0;0.00
20;CP;872441;1;1;0;0.00
20;CP;840959;1;1;0;0.00
20;CP;868507;1;1;0;0.00
20;CP;817949;1;1;0;0.00
20;CP;873779;1;1;0;0.00
20;CP;868253;1;1;0;0.00
20;CP;812276;1;1;0;0.00
20;CP;871401;1;1;0;0.00
20;CP;861346;1;1;0;0.00
20;CP;877199;1;1;0;0.00
20;CP;872741;1;1;0;0.00
20;CP;784381;1;1;0;0.00
