Size;Method;Time;Status;Solution;Timeout;Scans
0.3000;ULT;25046;0;0;0;19.09
0.3000;ULT;24600;0;0;0;19.09
0.3000;ULT;24274;0;0;0;19.09
0.3000;ULT;24381;0;0;0;19.09
0.3000;ULT;24439;0;0;0;19.09
0.3000;ULT;24338;0;0;0;19.09
0.3000;ULT;24610;0;0;0;19.09
0.3000;ULT;24791;0;0;0;19.09
0.3000;ULT;24712;0;0;0;19.09
0.3000;ULT;24268;0;0;0;19.09
0.3000;ULT;24371;0;0;0;19.09
0.3000;ULT;24431;0;0;0;19.09
0.3000;ULT;24354;0;0;0;19.09
0.3000;ULT;24372;0;0;0;19.09
0.3000;ULT;24580;0;0;0;19.09
0.3000;ULT;24429;0;0;0;19.09
0.3000;ULT;24509;0;0;0;19.09
0.3000;ULT;24485;0;0;0;19.09
0.3000;ULT;24355;0;0;0;19.09
0.3000;ULT;24477;0;0;0;19.09
0.3000;ULT;366618;0;0;0;363.92
0.3000;ULT;365817;0;0;0;363.92
0.3000;ULT;365112;0;0;0;363.92
0.3000;ULT;368238;0;0;0;363.92
0.3000;ULT;365304;0;0;0;363.92
0.3000;ULT;366380;0;0;0;363.92
0.3000;ULT;365606;0;0;0;363.92
0.3000;ULT;365449;0;0;0;363.92
0.3000;ULT;368186;0;0;0;363.92
0.3000;ULT;365604;0;0;0;363.92
0.3000;ULT;366757;0;0;0;363.92
0.3000;ULT;366350;0;0;0;363.92
0.3000;ULT;365414;0;0;0;363.92
0.3000;ULT;368592;0;0;0;363.92
0.3000;ULT;365264;0;0;0;363.92
0.3000;ULT;365089;0;0;0;363.92
0.3000;ULT;366192;0;0;0;363.92
0.3000;ULT;365119;0;0;0;363.92
0.3000;ULT;367223;0;0;0;363.92
0.3000;ULT;366003;0;0;0;363.92
0.3000;RULT;85;0;0;0;0.12
0.3000;RULT;65;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;62;0;0;0;0.12
0.3000;RULT;420;0;0;0;0.84
0.3000;RULT;334;0;0;0;0.84
0.3000;RULT;302;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;302;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;304;0;0;0;0.84
0.3000;RULT;306;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;RULT;302;0;0;0;0.84
0.3000;RULT;301;0;0;0;0.84
0.3000;ILP;257589;0;0;0;0.00
0.3000;ILP;276778;0;0;0;0.00
0.3000;ILP;271194;0;0;0;0.00
0.3000;ILP;280184;0;0;0;0.00
0.3000;ILP;274755;0;0;0;0.00
0.3000;ILP;255179;0;0;0;0.00
0.3000;ILP;272190;0;0;0;0.00
0.3000;ILP;278395;0;0;0;0.00
0.3000;ILP;285424;0;0;0;0.00
0.3000;ILP;275777;0;0;0;0.00
0.3000;ILP;255476;0;0;0;0.00
0.3000;ILP;276756;0;0;0;0.00
0.3000;ILP;269603;0;0;0;0.00
0.3000;ILP;270891;0;0;0;0.00
0.3000;ILP;264258;0;0;0;0.00
0.3000;ILP;252350;0;0;0;0.00
0.3000;ILP;264213;0;0;0;0.00
0.3000;ILP;279749;0;0;0;0.00
