Size;Method;Time;Status;Solution;Timeout;Scans
50;RULT;1483;0;0;0;4.66
50;RULT;1436;0;0;0;4.66
50;RULT;1424;0;0;0;4.66
50;RULT;1435;0;0;0;4.66
50;RULT;1424;0;0;0;4.66
50;RULT;1431;0;0;0;4.66
50;RULT;1432;0;0;0;4.66
50;RULT;1429;0;0;0;4.66
50;RULT;1432;0;0;0;4.66
50;RULT;1427;0;0;0;4.66
50;RULT;1437;0;0;0;4.66
50;RULT;1427;0;0;0;4.66
50;RULT;1437;0;0;0;4.66
50;RULT;1425;0;0;0;4.66
50;RULT;1433;0;0;0;4.66
50;RULT;1425;0;0;0;4.66
50;RULT;1433;0;0;0;4.66
50;RULT;1429;0;0;0;4.66
50;RULT;1429;0;0;0;4.66
50;RULT;1428;0;0;0;4.66
50;RULT;1402;0;0;0;4.48
50;RULT;1390;0;0;0;4.48
50;RULT;1400;0;0;0;4.48
50;RULT;1388;0;0;0;4.48
50;RULT;1389;0;0;0;4.48
50;RULT;1389;0;0;0;4.48
50;RULT;1391;0;0;0;4.48
50;RULT;1388;0;0;0;4.48
50;RULT;1392;0;0;0;4.48
50;RULT;1388;0;0;0;4.48
50;RULT;1392;0;0;0;4.48
50;RULT;1390;0;0;0;4.48
50;RULT;1389;0;0;0;4.48
50;RULT;1409;0;0;0;4.48
50;RULT;1390;0;0;0;4.48
50;RULT;1396;0;0;0;4.48
50;RULT;1391;0;0;0;4.48
50;RULT;1396;0;0;0;4.48
50;RULT;1392;0;0;0;4.48
50;RULT;1400;0;0;0;4.48
50;ILP;152589;0;0;0;0.00
50;ILP;150282;0;0;0;0.00
50;ILP;150727;0;0;0;0.00
50;ILP;148400;0;0;0;0.00
50;ILP;151073;0;0;0;0.00
50;ILP;150074;0;0;0;0.00
50;ILP;150674;0;0;0;0.00
50;ILP;149869;0;0;0;0.00
50;ILP;150326;0;0;0;0.00
50;ILP;150538;0;0;0;0.00
50;ILP;150236;0;0;0;0.00
50;ILP;150182;0;0;0;0.00
50;ILP;147423;0;0;0;0.00
50;ILP;152014;0;0;0;0.00
50;ILP;150750;0;0;0;0.00
50;ILP;150805;0;0;0;0.00
50;ILP;150425;0;0;0;0.00
50;ILP;150153;0;0;0;0.00
50;ILP;150008;0;0;0;0.00
50;ILP;149981;0;0;0;0.00
50;ILP;147136;0;0;0;0.00
50;ILP;149600;0;0;0;0.00
50;ILP;143445;0;0;0;0.00
50;ILP;145145;0;0;0;0.00
50;ILP;149269;0;0;0;0.00
50;ILP;148065;0;0;0;0.00
50;ILP;147461;0;0;0;0.00
50;ILP;148450;0;0;0;0.00
50;ILP;143984;0;0;0;0.00
50;ILP;145340;0;0;0;0.00
50;ILP;148464;0;0;0;0.00
50;ILP;144209;0;0;0;0.00
50;ILP;144520;0;0;0;0.00
50;ILP;151083;0;0;0;0.00
50;ILP;145153;0;0;0;0.00
50;ILP;144668;0;0;0;0.00
50;ILP;149277;0;0;0;0.00
50;ILP;144567;0;0;0;0.00
50;ILP;147839;0;0;0;0.00
50;ILP;144192;0;0;0;0.00
50;CP;1247403;0;0;0;0.00
50;CP;1194845;0;0;0;0.00
50;CP;1194827;0;0;0;0.00
50;CP;1170190;0;0;0;0.00
50;CP;1205784;0;0;0;0.00
