Size;Method;Time;Status;Solution;Timeout;Scans
5;RULT;3474;1;1;0;14.65
5;RULT;3462;1;1;0;14.65
5;RULT;3462;1;1;0;14.65
5;RULT;3465;1;1;0;14.65
5;RULT;3464;1;1;0;14.65
5;RULT;3465;1;1;0;14.65
5;RULT;3463;1;1;0;14.65
5;RULT;3463;1;1;0;14.65
5;RULT;3470;1;1;0;14.65
5;RULT;3469;1;1;0;14.65
5;RULT;3467;1;1;0;14.65
5;RULT;3476;1;1;0;14.65
5;RULT;3472;1;1;0;14.65
5;RULT;3468;1;1;0;14.65
5;RULT;3463;1;1;0;14.65
5;RULT;3468;1;1;0;14.65
5;RULT;3471;1;1;0;14.65
5;RULT;3462;1;1;0;14.65
5;RULT;3472;1;1;0;14.65
5;RULT;3465;1;1;0;14.65
5;RULT;3541;1;1;0;15.83
5;RULT;3529;1;1;0;15.83
5;RULT;3526;1;1;0;15.83
5;RULT;3524;1;1;0;15.83
5;RULT;3536;1;1;0;15.83
5;RULT;3534;1;1;0;15.83
5;RULT;3528;1;1;0;15.83
5;RULT;3530;1;1;0;15.83
5;RULT;3559;1;1;0;15.83
5;RULT;3643;1;1;0;15.83
5;RULT;3651;1;1;0;15.83
5;RULT;3537;1;1;0;15.83
5;RULT;3527;1;1;0;15.83
5;RULT;3534;1;1;0;15.83
5;RULT;3527;1;1;0;15.83
5;RULT;3521;1;1;0;15.83
5;RULT;3529;1;1;0;15.83
5;RULT;3527;1;1;0;15.83
5;RULT;3535;1;1;0;15.83
5;RULT;3533;1;1;0;15.83
5;RULT;4169;1;1;0;16.34
5;RULT;4153;1;1;0;16.34
5;RULT;4170;1;1;0;16.34
5;RULT;4148;1;1;0;16.34
5;RULT;4155;1;1;0;16.34
5;RULT;4172;1;1;0;16.34
5;RULT;4153;1;1;0;16.34
5;RULT;4160;1;1;0;16.34
5;RULT;4150;1;1;0;16.34
5;RULT;4151;1;1;0;16.34
5;RULT;4162;1;1;0;16.34
5;RULT;4183;1;1;0;16.34
5;RULT;4268;1;1;0;16.34
5;RULT;4190;1;1;0;16.34
5;RULT;4156;1;1;0;16.34
5;RULT;4156;1;1;0;16.34
5;RULT;4156;1;1;0;16.34
5;RULT;4148;1;1;0;16.34
5;RULT;4150;1;1;0;16.34
5;RULT;4146;1;1;0;16.34
5;ILP;62628;1;1;0;0.00
5;ILP;62969;1;1;0;0.00
5;ILP;61632;1;1;0;0.00
5;ILP;62439;1;1;0;0.00
5;ILP;62007;1;1;0;0.00
5;ILP;62115;1;1;0;0.00
5;ILP;61380;1;1;0;0.00
5;ILP;61863;1;1;0;0.00
5;ILP;62527;1;1;0;0.00
5;ILP;61899;1;1;0;0.00
5;ILP;63226;1;1;0;0.00
5;ILP;61924;1;1;0;0.00
5;ILP;63518;1;1;0;0.00
5;ILP;63230;1;1;0;0.00
5;ILP;61622;1;1;0;0.00
5;ILP;63088;1;1;0;0.00
5;ILP;62565;1;1;0;0.00
5;ILP;62026;1;1;0;0.00
5;ILP;63433;1;1;0;0.00
5;ILP;61385;1;1;0;0.00
5;ILP;64848;1;1;0;0.00
5;ILP;62486;1;1;0;0.00
5;ILP;64119;1;1;0;0.00
5;ILP;62505;1;1;0;0.00
5;ILP;62616;1;1;0;0.00
5;ILP;64254;1;1;0;0.00
5;ILP;62689;1;1;0;0.00
5;ILP;64404;1;1;0;0.00
5;ILP;62945;1;1;0;0.00
5;ILP;62168;1;1;0;0.00
5;ILP;63815;1;1;0;0.00
5;ILP;62310;1;1;0;0.00
5;ILP;62945;1;1;0;0.00
5;ILP;63458;1;1;0;0.00
5;ILP;62777;1;1;0;0.00
5;ILP;63980;1;1;0;0.00
5;ILP;63996;1;1;0;0.00
5;ILP;63638;1;1;0;0.00
5;ILP;62753;1;1;0;0.00
5;ILP;62709;1;1;0;0.00
5;ILP;63143;1;1;0;0.00
5;ILP;62520;1;1;0;0.00
5;ILP;63056;1;1;0;0.00
5;ILP;62386;1;1;0;0.00
5;ILP;62402;1;1;0;0.00
5;ILP;62865;1;1;0;0.00
5;ILP;63215;1;1;0;0.00
5;ILP;62370;1;1;0;0.00
5;ILP;62585;1;1;0;0.00
5;ILP;62127;1;1;0;0.00
5;ILP;62836;1;1;0;0.00
5;ILP;62820;1;1;0;0.00
5;ILP;62500;1;1;0;0.00
5;ILP;62826;1;1;0;0.00
