Size;Method;Time;Status;Solution;Timeout;Scans
1.0000;RULT;4839;1;1;0;19.70
1.0000;RULT;4866;1;1;0;19.70
1.0000;RULT;4842;1;1;0;19.70
1.0000;RULT;4986;1;1;0;19.70
1.0000;RULT;4889;1;1;0;19.70
1.0000;RULT;4904;1;1;0;19.70
1.0000;RULT;4830;1;1;0;19.70
1.0000;RULT;4819;1;1;0;19.70
1.0000;RULT;4831;1;1;0;19.70
1.0000;RULT;4883;1;1;0;19.70
1.0000;RULT;4831;1;1;0;19.70
1.0000;RULT;4831;1;1;0;19.70
1.0000;RULT;4831;1;1;0;19.70
1.0000;RULT;4832;1;1;0;19.70
1.0000;RULT;4829;1;1;0;19.70
1.0000;RULT;4818;1;1;0;19.70
1.0000;RULT;4831;1;1;0;19.70
1.0000;RULT;4824;1;1;0;19.70
1.0000;RULT;4828;1;1;0;19.70
1.0000;RULT;4835;1;1;0;19.70
1.0000;RULT;3886;1;1;0;16.94
1.0000;RULT;3875;1;1;0;16.94
1.0000;RULT;3879;1;1;0;16.94
1.0000;RULT;4729;1;1;0;16.94
1.0000;RULT;3883;1;1;0;16.94
1.0000;RULT;3880;1;1;0;16.94
1.0000;RULT;3884;1;1;0;16.94
1.0000;RULT;3874;1;1;0;16.94
1.0000;RULT;3880;1;1;0;16.94
1.0000;RULT;3887;1;1;0;16.94
1.0000;RULT;3884;1;1;0;16.94
1.0000;RULT;3874;1;1;0;16.94
1.0000;RULT;3876;1;1;0;16.94
1.0000;RULT;3881;1;1;0;16.94
1.0000;RULT;3885;1;1;0;16.94
1.0000;RULT;3881;1;1;0;16.94
1.0000;RULT;3878;1;1;0;16.94
1.0000;RULT;3886;1;1;0;16.94
1.0000;RULT;3879;1;1;0;16.94
1.0000;RULT;3883;1;1;0;16.94
1.0000;RULT;5473;1;1;0;22.22
1.0000;RULT;5482;1;1;0;22.22
1.0000;RULT;5472;1;1;0;22.22
1.0000;RULT;5464;1;1;0;22.22
1.0000;RULT;5469;1;1;0;22.22
1.0000;RULT;5467;1;1;0;22.22
1.0000;RULT;5476;1;1;0;22.22
1.0000;RULT;5467;1;1;0;22.22
1.0000;RULT;5470;1;1;0;22.22
1.0000;RULT;5465;1;1;0;22.22
1.0000;RULT;5470;1;1;0;22.22
1.0000;RULT;5489;1;1;0;22.22
1.0000;RULT;5465;1;1;0;22.22
1.0000;RULT;5472;1;1;0;22.22
1.0000;RULT;5471;1;1;0;22.22
1.0000;RULT;5478;1;1;0;22.22
1.0000;RULT;5459;1;1;0;22.22
1.0000;RULT;5468;1;1;0;22.22
1.0000;RULT;5468;1;1;0;22.22
1.0000;RULT;5466;1;1;0;22.22
1.0000;ILP;108516;1;1;0;0.00
1.0000;ILP;106613;1;1;0;0.00
1.0000;ILP;107202;1;1;0;0.00
1.0000;ILP;108989;1;1;0;0.00
1.0000;ILP;107749;1;1;0;0.00
