Size;Method;Time;Status;Solution;Timeout;Scans
100;RULT;2348;0;0;0;11.82
100;RULT;2336;0;0;0;11.82
100;RULT;2332;0;0;0;11.82
100;RULT;2345;0;0;0;11.82
100;RULT;2347;0;0;0;11.82
100;RULT;2339;0;0;0;11.82
100;RULT;2339;0;0;0;11.82
100;RULT;2348;0;0;0;11.82
100;RULT;2343;0;0;0;11.82
100;RULT;2358;0;0;0;11.82
100;RULT;2341;0;0;0;11.82
100;RULT;2343;0;0;0;11.82
100;RULT;2344;0;0;0;11.82
100;RULT;2345;0;0;0;11.82
100;RULT;2338;0;0;0;11.82
100;RULT;2341;0;0;0;11.82
100;RULT;2346;0;0;0;11.82
100;RULT;2345;0;0;0;11.82
100;RULT;2341;0;0;0;11.82
100;RULT;2341;0;0;0;11.82
100;RULT;2269;0;0;0;10.98
100;RULT;2275;0;0;0;10.98
100;RULT;2518;0;0;0;10.98
100;RULT;2614;0;0;0;10.98
100;RULT;2609;0;0;0;10.98
100;RULT;2613;0;0;0;10.98
100;RULT;2620;0;0;0;10.98
100;RULT;2573;0;0;0;10.98
100;RULT;2541;0;0;0;10.98
100;RULT;2606;0;0;0;10.98
100;RULT;2327;0;0;0;10.98
100;RULT;2278;0;0;0;10.98
100;RULT;2273;0;0;0;10.98
100;RULT;2264;0;0;0;10.98
100;RULT;2276;0;0;0;10.98
100;RULT;2411;0;0;0;10.98
100;RULT;2381;0;0;0;10.98
100;RULT;2275;0;0;0;10.98
100;RULT;2274;0;0;0;10.98
100;RULT;2325;0;0;0;10.98
100;ILP;266300;0;0;0;0.00
100;ILP;254494;0;0;0;0.00
100;ILP;252276;0;0;0;0.00
100;ILP;254587;0;0;0;0.00
100;ILP;252400;0;0;0;0.00
100;ILP;252504;0;0;0;0.00
100;ILP;252811;0;0;0;0.00
100;ILP;258114;0;0;0;0.00
100;ILP;252798;0;0;0;0.00
100;ILP;254299;0;0;0;0.00
100;ILP;253100;0;0;0;0.00
100;ILP;253129;0;0;0;0.00
100;ILP;254574;0;0;0;0.00
100;ILP;253311;0;0;0;0.00
100;ILP;254950;0;0;0;0.00
100;ILP;254321;0;0;0;0.00
100;ILP;253666;0;0;0;0.00
100;ILP;252756;0;0;0;0.00
100;ILP;252287;0;0;0;0.00
100;ILP;252735;0;0;0;0.00
100;ILP;276387;0;0;0;0.00
100;ILP;258513;0;0;0;0.00
100;ILP;263148;0;0;0;0.00
100;ILP;254969;0;0;0;0.00
100;ILP;259213;0;0;0;0.00
100;ILP;259019;0;0;0;0.00
100;ILP;256691;0;0;0;0.00
100;ILP;261088;0;0;0;0.00
100;ILP;260770;0;0;0;0.00
100;ILP;261119;0;0;0;0.00
100;ILP;258828;0;0;0;0.00
100;ILP;260179;0;0;0;0.00
100;ILP;256652;0;0;0;0.00
100;ILP;260934;0;0;0;0.00
100;ILP;257150;0;0;0;0.00
100;ILP;262364;0;0;0;0.00
100;ILP;255325;0;0;0;0.00
100;ILP;261060;0;0;0;0.00
100;ILP;258268;0;0;0;0.00
100;ILP;262388;0;0;0;0.00
100;SCP;2361101;0;0;1;0.00
100;SCP;2365278;0;0;1;0.00
100;SCP;2356864;0;0;1;0.00
100;SCP;2356852;0;0;1;0.00
100;SCP;2360685;0;0;1;0.00
100;SCP;2355516;0;0;1;0.00
100;SCP;2383206;0;0;1;0.00
100;SCP;2369564;0;0;1;0.00
100;SCP;2354541;0;0;1;0.00
100;SCP;2353538;0;0;1;0.00
100;SCP;2350958;0;0;1;0.00
100;SCP;2351820;0;0;1;0.00
100;SCP;2378057;0;0;1;0.00
100;SCP;2381862;0;0;1;0.00
100;SCP;2351393;0;0;1;0.00
100;SCP;2359067;0;0;1;0.00
100;SCP;2383428;0;0;1;0.00
100;SCP;2354312;0;0;1;0.00
100;SCP;2393476;0;0;1;0.00
100;SCP;2354367;0;0;1;0.00
100;SCP;546032;0;0;0;0.00
100;SCP;529216;0;0;0;0.00
100;SCP;539685;0;0;0;0.00
100;SCP;529650;0;0;0;0.00
100;SCP;529646;0;0;0;0.00
100;SCP;528307;0;0;0;0.00
100;SCP;539932;0;0;0;0.00
100;SCP;528091;0;0;0;0.00
100;SCP;527883;0;0;0;0.00
100;SCP;529502;0;0;0;0.00
100;SCP;528312;0;0;0;0.00
100;SCP;525603;0;0;0;0.00
100;SCP;526585;0;0;0;0.00
100;SCP;526726;0;0;0;0.00
100;SCP;528836;0;0;0;0.00
100;SCP;529442;0;0;0;0.00
100;SCP;539451;0;0;0;0.00
100;SCP;537149;0;0;0;0.00
100;SCP;539827;0;0;0;0.00
100;SCP;540405;0;0;0;0.00
100;BFDC;528;0;0;0;2.65
100;BFDC;525;0;0;0;2.65
100;BFDC;528;0;0;0;2.65
100;BFDC;524;0;0;0;2.65
100;BFDC;524;0;0;0;2.65
100;BFDC;524;0;0;0;2.65
100;BFDC;523;0;0;0;2.65
100;BFDC;526;0;0;0;2.65
100;BFDC;531;0;0;0;2.65
100;BFDC;525;0;0;0;2.65
100;BFDC;525;0;0;0;2.65
100;BFDC;525;0;0;0;2.65
100;BFDC;525;0;0;0;2.65
100;BFDC;524;0;0;0;2.65
100;BFDC;534;0;0;0;2.65
100;BFDC;524;0;0;0;2.65
100;BFDC;526;0;0;0;2.65
100;BFDC;524;0;0;0;2.65
100;BFDC;525;0;0;0;2.65
100;BFDC;523;0;0;0;2.65
100;BFDC;399;0;0;0;1.96
100;BFDC;398;0;0;0;1.96
100;BFDC;397;0;0;0;1.96
100;BFDC;398;0;0;0;1.96
100;BFDC;397;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;BFDC;397;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;BFDC;397;0;0;0;1.96
100;BFDC;404;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;BFDC;397;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;BFDC;397;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;BFDC;397;0;0;0;1.96
100;BFDC;396;0;0;0;1.96
100;CRA;13637;0;0;0;31.30
100;CRA;13567;0;0;0;31.30
100;CRA;13541;0;0;0;31.30
100;CRA;13553;0;0;0;31.30
100;CRA;13556;0;0;0;31.30
100;CRA;13555;0;0;0;31.30
100;CRA;13552;0;0;0;31.30
100;CRA;13562;0;0;0;31.30
100;CRA;13547;0;0;0;31.30
100;CRA;13568;0;0;0;31.30
100;CRA;13535;0;0;0;31.30
100;CRA;13562;0;0;0;31.30
100;CRA;13560;0;0;0;31.30
100;CRA;13554;0;0;0;31.30
100;CRA;13553;0;0;0;31.30
100;CRA;13550;0;0;0;31.30
100;CRA;13548;0;0;0;31.30
100;CRA;13532;0;0;0;31.30
100;CRA;13545;0;0;0;31.30
100;CRA;13559;0;0;0;31.30
100;CRA;1840;0;0;0;7.91
100;CRA;1792;0;0;0;7.91
100;CRA;1794;0;0;0;7.91
100;CRA;1799;0;0;0;7.91
100;CRA;1793;0;0;0;7.91
100;CRA;1804;0;0;0;7.91
100;CRA;1789;0;0;0;7.91
100;CRA;1800;0;0;0;7.91
100;CRA;1796;0;0;0;7.91
100;CRA;1804;0;0;0;7.91
100;CRA;1798;0;0;0;7.91
100;CRA;1803;0;0;0;7.91
100;CRA;1795;0;0;0;7.91
100;CRA;1793;0;0;0;7.91
100;CRA;1800;0;0;0;7.91
100;CRA;1792;0;0;0;7.91
100;CRA;1805;0;0;0;7.91
100;CRA;1792;0;0;0;7.91
100;CRA;1800;0;0;0;7.91
100;CRA;1792;0;0;0;7.91
80;ULT;1101400;0;0;0;336.61
80;ULT;1103352;0;0;0;336.61
80;ULT;1102476;0;0;0;336.61
80;ULT;1102372;0;0;0;336.61
80;ULT;1102287;0;0;0;336.61
80;ULT;1102308;0;0;0;336.61
80;ULT;1103288;0;0;0;336.61
80;ULT;1102497;0;0;0;336.61
80;ULT;1102299;0;0;0;336.61
80;ULT;1102188;0;0;0;336.61
80;ULT;1102292;0;0;0;336.61
80;ULT;1102471;0;0;0;336.61
80;ULT;1102441;0;0;0;336.61
80;ULT;1104653;0;0;0;336.61
80;ULT;1161880;0;0;0;336.61
80;ULT;1161671;0;0;0;336.61
80;ULT;1151047;0;0;0;336.61
80;ULT;1148966;0;0;0;336.61
80;ULT;1145804;0;0;0;336.61
80;ULT;1148129;0;0;0;336.61
80;ULT;2000000;0;0;1;590.71
80;ULT;2000000;0;0;1;589.83
80;ULT;2000001;0;0;1;590.58
80;ULT;2000000;0;0;1;591.20
80;ULT;2000000;0;0;1;602.29
80;ULT;2000001;0;0;1;602.32
80;ULT;2000000;0;0;1;602.29
80;ULT;2000000;0;0;1;602.25
80;ULT;2000001;0;0;1;602.35
80;ULT;2000001;0;0;1;602.33
80;ULT;2000001;0;0;1;602.36
80;ULT;2000001;0;0;1;602.24
80;ULT;2000000;0;0;1;602.22
80;ULT;2000000;0;0;1;602.31
80;ULT;2000000;0;0;1;602.34
80;ULT;2000001;0;0;1;602.34
80;ULT;2000000;0;0;1;602.25
80;ULT;2000001;0;0;1;602.19
80;ULT;2000000;0;0;1;602.23
80;ULT;2000000;0;0;1;602.32
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;74;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;76;0;0;0;0.59
80;RULT;74;0;0;0;0.59
80;RULT;75;0;0;0;0.59
80;RULT;74;0;0;0;0.59
80;RULT;76;0;0;0;0.59
80;RULT;88;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;86;0;0;0;0.70
80;RULT;88;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;86;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;86;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;88;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;92;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;RULT;87;0;0;0;0.70
80;ILP;210737;0;0;0;0.00
80;ILP;202413;0;0;0;0.00
80;ILP;201441;0;0;0;0.00
80;ILP;201786;0;0;0;0.00
80;ILP;202583;0;0;0;0.00
80;ILP;202467;0;0;0;0.00
80;ILP;200916;0;0;0;0.00
80;ILP;199068;0;0;0;0.00
80;ILP;201653;0;0;0;0.00
80;ILP;205053;0;0;0;0.00
80;ILP;202432;0;0;0;0.00
80;ILP;195860;0;0;0;0.00
80;ILP;202839;0;0;0;0.00
80;ILP;203019;0;0;0;0.00
80;ILP;204346;0;0;0;0.00
80;ILP;197688;0;0;0;0.00
80;ILP;202832;0;0;0;0.00
80;ILP;202496;0;0;0;0.00
80;ILP;200944;0;0;0;0.00
