Size;Method;Time;Status;Solution;Timeout;Scans
0.3000;ULT;552787;0;0;0;164.25
0.3000;ULT;548150;0;0;0;164.25
0.3000;ULT;552741;0;0;0;164.25
0.3000;ULT;551173;0;0;0;164.25
0.3000;ULT;542530;0;0;0;164.25
0.3000;ULT;553585;0;0;0;164.25
0.3000;ULT;541854;0;0;0;164.25
0.3000;ULT;553026;0;0;0;164.25
0.3000;ULT;549059;0;0;0;164.25
0.3000;ULT;539172;0;0;0;164.25
0.3000;ULT;537826;0;0;0;164.25
0.3000;ULT;539195;0;0;0;164.25
0.3000;ULT;538035;0;0;0;164.25
0.3000;ULT;538863;0;0;0;164.25
0.3000;ULT;538799;0;0;0;164.25
0.3000;ULT;538281;0;0;0;164.25
0.3000;ULT;539297;0;0;0;164.25
0.3000;ULT;537807;0;0;0;164.25
0.3000;ULT;532075;0;0;0;164.25
0.3000;ULT;540546;0;0;0;164.25
0.3000;ULT;247814;0;0;0;75.56
0.3000;ULT;247700;0;0;0;75.56
0.3000;ULT;243685;0;0;0;75.56
0.3000;ULT;243575;0;0;0;75.56
0.3000;ULT;248543;0;0;0;75.56
0.3000;ULT;247429;0;0;0;75.56
0.3000;ULT;254352;0;0;0;75.56
0.3000;ULT;242976;0;0;0;75.56
0.3000;ULT;253284;0;0;0;75.56
0.3000;ULT;253152;0;0;0;75.56
0.3000;ULT;243052;0;0;0;75.56
0.3000;ULT;253075;0;0;0;75.56
0.3000;ULT;253204;0;0;0;75.56
0.3000;ULT;243026;0;0;0;75.56
0.3000;ULT;253032;0;0;0;75.56
0.3000;ULT;252807;0;0;0;75.56
0.3000;ULT;243411;0;0;0;75.56
0.3000;ULT;253111;0;0;0;75.56
0.3000;ULT;252119;0;0;0;75.56
0.3000;ULT;244135;0;0;0;75.56
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;28;0;0;0;0.25
0.3000;RULT;91;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;89;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;96;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;RULT;90;0;0;0;1.04
0.3000;ILP;19423;0;0;0;0.00
0.3000;ILP;18957;0;0;0;0.00
0.3000;ILP;19245;0;0;0;0.00
0.3000;ILP;19149;0;0;0;0.00
0.3000;ILP;19161;0;0;0;0.00
0.3000;ILP;19329;0;0;0;0.00
0.3000;ILP;18932;0;0;0;0.00
0.3000;ILP;18682;0;0;0;0.00
0.3000;ILP;19100;0;0;0;0.00
0.3000;ILP;19395;0;0;0;0.00
0.3000;ILP;19058;0;0;0;0.00
0.3000;ILP;19141;0;0;0;0.00
0.3000;ILP;19067;0;0;0;0.00
0.3000;ILP;18985;0;0;0;0.00
0.3000;ILP;18944;0;0;0;0.00
0.3000;ILP;18747;0;0;0;0.00
0.3000;ILP;19408;0;0;0;0.00
0.3000;ILP;19361;0;0;0;0.00
0.3000;ILP;18899;0;0;0;0.00
0.3000;ILP;19064;0;0;0;0.00
0.3000;ILP;19467;0;0;0;0.00
0.3000;ILP;19219;0;0;0;0.00
0.3000;ILP;19892;0;0;0;0.00
0.3000;ILP;19194;0;0;0;0.00
0.3000;ILP;19312;0;0;0;0.00
0.3000;ILP;18993;0;0;0;0.00
0.3000;ILP;19522;0;0;0;0.00
0.3000;ILP;19384;0;0;0;0.00
0.3000;ILP;18173;0;0;0;0.00
0.3000;ILP;18333;0;0;0;0.00
0.3000;ILP;18342;0;0;0;0.00
0.3000;ILP;18367;0;0;0;0.00
0.3000;ILP;18339;0;0;0;0.00
0.3000;ILP;18119;0;0;0;0.00
0.3000;ILP;18144;0;0;0;0.00
0.3000;ILP;18258;0;0;0;0.00
0.3000;ILP;18017;0;0;0;0.00
0.3000;ILP;19111;0;0;0;0.00
0.3000;ILP;19194;0;0;0;0.00
0.3000;ILP;19371;0;0;0;0.00
0.3000;CP;86298;0;0;0;0.00
0.3000;CP;87510;0;0;0;0.00
0.3000;CP;87503;0;0;0;0.00
0.3000;CP;87191;0;0;0;0.00
0.3000;CP;84089;0;0;0;0.00
0.3000;CP;83487;0;0;0;0.00
0.3000;CP;83796;0;0;0;0.00
0.3000;CP;83321;0;0;0;0.00
0.3000;CP;83636;0;0;0;0.00
0.3000;CP;82781;0;0;0;0.00
0.3000;CP;83205;0;0;0;0.00
0.3000;CP;83736;0;0;0;0.00
0.3000;CP;84316;0;0;0;0.00
0.3000;CP;84099;0;0;0;0.00
0.3000;CP;85098;0;0;0;0.00
0.3000;CP;84608;0;0;0;0.00
0.3000;CP;84553;0;0;0;0.00
0.3000;CP;84714;0;0;0;0.00
0.3000;CP;84555;0;0;0;0.00
0.3000;CP;84642;0;0;0;0.00
0.3000;CP;86417;0;0;0;0.00
0.3000;CP;86739;0;0;0;0.00
0.3000;CP;86928;0;0;0;0.00
0.3000;CP;86746;0;0;0;0.00
0.3000;CP;87190;0;0;0;0.00
0.3000;CP;78549;0;0;0;0.00
0.3000;CP;78690;0;0;0;0.00
0.3000;CP;78281;0;0;0;0.00
0.3000;CP;85358;0;0;0;0.00
0.3000;CP;83919;0;0;0;0.00
0.3000;CP;83071;0;0;0;0.00
0.3000;CP;82900;0;0;0;0.00
0.3000;CP;83521;0;0;0;0.00
0.3000;CP;83637;0;0;0;0.00
0.3000;CP;83061;0;0;0;0.00
0.3000;CP;82838;0;0;0;0.00
0.3000;CP;84803;0;0;0;0.00
0.3000;CP;87364;0;0;0;0.00
0.3000;CP;86557;0;0;0;0.00
0.3000;CP;86993;0;0;0;0.00
0.3000;SCP;59501;0;0;0;0.00
0.3000;SCP;60170;0;0;0;0.00
0.3000;SCP;58793;0;0;0;0.00
0.3000;SCP;59195;0;0;0;0.00
0.3000;SCP;58795;0;0;0;0.00
0.3000;SCP;60819;0;0;0;0.00
0.3000;SCP;57013;0;0;0;0.00
0.3000;SCP;57995;0;0;0;0.00
0.3000;SCP;57752;0;0;0;0.00
0.3000;SCP;56811;0;0;0;0.00
0.3000;SCP;56930;0;0;0;0.00
0.3000;SCP;57034;0;0;0;0.00
0.3000;SCP;56839;0;0;0;0.00
0.3000;SCP;56656;0;0;0;0.00
0.3000;SCP;58165;0;0;0;0.00
0.3000;SCP;57688;0;0;0;0.00
0.3000;SCP;57383;0;0;0;0.00
0.3000;SCP;56932;0;0;0;0.00
0.3000;SCP;57156;0;0;0;0.00
0.3000;SCP;56926;0;0;0;0.00
0.3000;SCP;87038;0;0;0;0.00
0.3000;SCP;87408;0;0;0;0.00
0.3000;SCP;86900;0;0;0;0.00
0.3000;SCP;86787;0;0;0;0.00
0.3000;SCP;86487;0;0;0;0.00
0.3000;SCP;86552;0;0;0;0.00
0.3000;SCP;86811;0;0;0;0.00
0.3000;SCP;87476;0;0;0;0.00
0.3000;SCP;87392;0;0;0;0.00
0.3000;SCP;87114;0;0;0;0.00
0.3000;SCP;87294;0;0;0;0.00
0.3000;SCP;87464;0;0;0;0.00
0.3000;SCP;88179;0;0;0;0.00
0.3000;SCP;88185;0;0;0;0.00
0.3000;SCP;88347;0;0;0;0.00
0.3000;SCP;88280;0;0;0;0.00
0.3000;SCP;87788;0;0;0;0.00
0.3000;SCP;87431;0;0;0;0.00
0.3000;SCP;87402;0;0;0;0.00
0.3000;SCP;87288;0;0;0;0.00
0.3000;KAB;442;0;0;0;0.00
0.3000;KAB;92;0;0;0;0.00
0.3000;KAB;89;0;0;0;0.00
0.3000;KAB;90;0;0;0;0.00
0.3000;KAB;89;0;0;0;0.00
0.3000;KAB;89;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;89;0;0;0;0.00
0.3000;KAB;89;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;89;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;89;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;88;0;0;0;0.00
0.3000;KAB;415;0;0;0;0.00
0.3000;KAB;67;0;0;0;0.00
0.3000;KAB;62;0;0;0;0.00
0.3000;KAB;57;0;0;0;0.00
0.3000;KAB;58;0;0;0;0.00
0.3000;KAB;59;0;0;0;0.00
0.3000;KAB;60;0;0;0;0.00
0.3000;KAB;60;0;0;0;0.00
0.3000;KAB;59;0;0;0;0.00
0.3000;KAB;56;0;0;0;0.00
0.3000;KAB;60;0;0;0;0.00
0.3000;KAB;60;0;0;0;0.00
0.3000;KAB;61;0;0;0;0.00
0.3000;KAB;56;0;0;0;0.00
0.3000;KAB;53;0;0;0;0.00
0.3000;KAB;54;0;0;0;0.00
0.3000;KAB;54;0;0;0;0.00
0.3000;KAB;54;0;0;0;0.00
0.3000;KAB;53;0;0;0;0.00
0.3000;KAB;54;0;0;0;0.00
0.3000;BFDC;46;0;0;0;0.26
0.3000;BFDC;45;0;0;0;0.26
0.3000;BFDC;45;0;0;0;0.26
0.3000;BFDC;45;0;0;0;0.26
