Size;Method;Time;Status;Solution;Timeout;Scans
1.0000;ULT;2000000;0;0;1;588.31
1.0000;ULT;2000001;0;0;1;588.24
1.0000;ULT;2000000;0;0;1;588.14
1.0000;ULT;2000000;0;0;1;588.27
1.0000;ULT;2000001;0;0;1;588.13
1.0000;ULT;2000000;0;0;1;588.14
1.0000;ULT;2000001;0;0;1;588.04
1.0000;ULT;2000001;0;0;1;588.00
1.0000;ULT;2000000;0;0;1;587.86
1.0000;ULT;2000001;0;0;1;587.52
1.0000;ULT;2000000;0;0;1;587.59
1.0000;ULT;2000000;0;0;1;587.39
1.0000;ULT;2000001;0;0;1;586.96
1.0000;ULT;2000001;0;0;1;586.94
1.0000;ULT;2000001;0;0;1;586.44
1.0000;ULT;2000001;0;0;1;596.27
1.0000;ULT;2000001;0;0;1;599.56
1.0000;ULT;2000001;0;0;1;586.35
1.0000;ULT;2000001;0;0;1;587.23
1.0000;ULT;2000000;0;0;1;586.86
1.0000;ULT;2000001;0;0;1;618.39
1.0000;ULT;2000000;0;0;1;618.05
1.0000;ULT;2000000;0;0;1;618.08
1.0000;ULT;2000000;0;0;1;618.19
1.0000;ULT;2000001;0;0;1;618.14
1.0000;ULT;2000000;0;0;1;618.17
1.0000;ULT;2000001;0;0;1;618.92
1.0000;ULT;2000001;0;0;1;618.88
1.0000;ULT;2000001;0;0;1;618.86
1.0000;ULT;2000000;0;0;1;618.93
1.0000;ULT;2000001;0;0;1;618.83
1.0000;ULT;2000001;0;0;1;618.92
1.0000;ULT;2000000;0;0;1;618.91
1.0000;ULT;2000000;0;0;1;618.92
1.0000;ULT;2000001;0;0;1;618.93
1.0000;ULT;2000000;0;0;1;618.92
1.0000;ULT;2000000;0;0;1;618.88
1.0000;ULT;2000001;0;0;1;618.91
1.0000;ULT;2000001;0;0;1;618.96
1.0000;ULT;2000000;0;0;1;618.99
1.0000;ULT;2000001;0;0;1;616.40
1.0000;ULT;2000000;0;0;1;616.15
1.0000;ULT;2000000;0;0;1;608.74
1.0000;ULT;2000001;0;0;1;617.72
1.0000;ULT;2000000;0;0;1;617.95
1.0000;ULT;2000001;0;0;1;617.54
1.0000;ULT;2000001;0;0;1;617.40
1.0000;ULT;2000000;0;0;1;617.42
1.0000;ULT;2000000;0;0;1;618.09
1.0000;ULT;2000000;0;0;1;618.06
1.0000;ULT;2000001;0;0;1;618.10
1.0000;ULT;2000000;0;0;1;617.54
1.0000;ULT;2000001;0;0;1;617.63
1.0000;ULT;2000000;0;0;1;617.48
1.0000;ULT;2000000;0;0;1;617.68
1.0000;ULT;2000000;0;0;1;617.44
1.0000;ULT;2000000;0;0;1;617.71
1.0000;ULT;2000001;0;0;1;617.53
