Size;Method;Time;Status;Solution;Timeout;Scans
360;ULT;255053;1;1;0;2179.63
360;ULT;255790;1;1;0;2179.63
360;ULT;256577;1;1;0;2179.63
360;ULT;254940;1;1;0;2179.63
360;ULT;255006;1;1;0;2179.63
360;ULT;255696;1;1;0;2179.63
360;ULT;256864;1;1;0;2179.63
360;ULT;258607;1;1;0;2179.63
360;ULT;259082;1;1;0;2179.63
360;ULT;258843;1;1;0;2179.63
360;ULT;258778;1;1;0;2179.63
360;ULT;259016;1;1;0;2179.63
360;ULT;257047;1;1;0;2179.63
360;ULT;258167;1;1;0;2179.63
360;ULT;255708;1;1;0;2179.63
360;ULT;258105;1;1;0;2179.63
360;ULT;255260;1;1;0;2179.63
360;ULT;255156;1;1;0;2179.63
360;ULT;258359;1;1;0;2179.63
360;ULT;258579;1;1;0;2179.63
360;ULT;172322;1;1;0;1453.09
360;ULT;171314;1;1;0;1453.09
360;ULT;171854;1;1;0;1453.09
360;ULT;172706;1;1;0;1453.09
360;ULT;172259;1;1;0;1453.09
360;ULT;173646;1;1;0;1453.09
360;ULT;173983;1;1;0;1453.09
360;ULT;173851;1;1;0;1453.09
360;ULT;173241;1;1;0;1453.09
360;ULT;173425;1;1;0;1453.09
360;ULT;173489;1;1;0;1453.09
360;ULT;171445;1;1;0;1453.09
360;ULT;173280;1;1;0;1453.09
360;ULT;178646;1;1;0;1453.09
360;ULT;173066;1;1;0;1453.09
360;ULT;172366;1;1;0;1453.09
360;ULT;175255;1;1;0;1453.09
360;ULT;172659;1;1;0;1453.09
360;ULT;173756;1;1;0;1453.09
360;ULT;173628;1;1;0;1453.09
360;ULT;222305;1;1;0;1816.36
360;ULT;215429;1;1;0;1816.36
360;ULT;215768;1;1;0;1816.36
360;ULT;215531;1;1;0;1816.36
360;ULT;213925;1;1;0;1816.36
360;ULT;215158;1;1;0;1816.36
360;ULT;215855;1;1;0;1816.36
360;ULT;215842;1;1;0;1816.36
360;ULT;217484;1;1;0;1816.36
360;ULT;215621;1;1;0;1816.36
360;ULT;215841;1;1;0;1816.36
360;ULT;215787;1;1;0;1816.36
360;ULT;215645;1;1;0;1816.36
360;ULT;215652;1;1;0;1816.36
360;ULT;215758;1;1;0;1816.36
360;ULT;213500;1;1;0;1816.36
360;ULT;213784;1;1;0;1816.36
360;ULT;212647;1;1;0;1816.36
360;ULT;212659;1;1;0;1816.36
360;ULT;212705;1;1;0;1816.36
360;RULT;488;1;1;0;10.33
360;RULT;488;1;1;0;10.33
360;RULT;485;1;1;0;10.33
360;RULT;482;1;1;0;10.33
360;RULT;487;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;490;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;485;1;1;0;10.33
360;RULT;483;1;1;0;10.33
360;RULT;482;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;482;1;1;0;10.33
360;RULT;487;1;1;0;10.33
360;RULT;486;1;1;0;10.33
360;RULT;486;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;485;1;1;0;10.33
360;RULT;357;1;1;0;8.71
360;RULT;352;1;1;0;8.71
360;RULT;352;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;359;1;1;0;8.71
360;RULT;351;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;350;1;1;0;8.71
360;RULT;355;1;1;0;8.71
360;RULT;352;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;358;1;1;0;8.71
360;RULT;351;1;1;0;8.71
360;RULT;351;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;356;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;355;1;1;0;8.71
360;RULT;362;1;1;0;8.17
360;RULT;356;1;1;0;8.17
360;RULT;356;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;356;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;364;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;356;1;1;0;8.17
360;RULT;361;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;ILP;28131;1;1;0;0.00
360;ILP;23201;1;1;0;0.00
360;ILP;23517;1;1;0;0.00
360;ILP;23392;1;1;0;0.00
360;ILP;23287;1;1;0;0.00
360;ILP;23028;1;1;0;0.00
360;ILP;22869;1;1;0;0.00
360;ILP;23222;1;1;0;0.00
360;ILP;23397;1;1;0;0.00
360;ILP;22916;1;1;0;0.00
360;ILP;23004;1;1;0;0.00
360;ILP;23475;1;1;0;0.00
360;ILP;23087;1;1;0;0.00
360;ILP;23149;1;1;0;0.00
360;ILP;23538;1;1;0;0.00
360;ILP;23216;1;1;0;0.00
360;ILP;23251;1;1;0;0.00
360;ILP;23367;1;1;0;0.00
360;ILP;23105;1;1;0;0.00
360;ILP;23060;1;1;0;0.00
360;ILP;14091;1;1;0;0.00
360;ILP;9206;1;1;0;0.00
360;ILP;8676;1;1;0;0.00
360;ILP;8590;1;1;0;0.00
360;ILP;8532;1;1;0;0.00
360;ILP;8566;1;1;0;0.00
360;ILP;8677;1;1;0;0.00
360;ILP;8783;1;1;0;0.00
360;ILP;8888;1;1;0;0.00
360;ILP;8784;1;1;0;0.00
360;ILP;8557;1;1;0;0.00
360;ILP;8555;1;1;0;0.00
360;ILP;8610;1;1;0;0.00
360;ILP;8629;1;1;0;0.00
360;ILP;8833;1;1;0;0.00
360;ILP;9012;1;1;0;0.00
360;ILP;8957;1;1;0;0.00
360;ILP;9000;1;1;0;0.00
360;ILP;8556;1;1;0;0.00
360;ILP;8784;1;1;0;0.00
360;ILP;21720;1;1;0;0.00
360;ILP;19196;1;1;0;0.00
360;ILP;18806;1;1;0;0.00
360;ILP;18863;1;1;0;0.00
360;ILP;19030;1;1;0;0.00
360;ILP;18924;1;1;0;0.00
360;ILP;18990;1;1;0;0.00
360;ILP;19064;1;1;0;0.00
360;ILP;18890;1;1;0;0.00
360;ILP;18954;1;1;0;0.00
360;ILP;18972;1;1;0;0.00
360;ILP;18725;1;1;0;0.00
360;ILP;18832;1;1;0;0.00
360;ILP;18768;1;1;0;0.00
360;ILP;18764;1;1;0;0.00
360;ILP;18873;1;1;0;0.00
360;ILP;18841;1;1;0;0.00
360;ILP;18850;1;1;0;0.00
360;ILP;18961;1;1;0;0.00
360;ILP;19034;1;1;0;0.00
360;CP;36597;1;1;0;0.00
360;CP;35750;1;1;0;0.00
360;CP;35815;1;1;0;0.00
360;CP;35383;1;1;0;0.00
360;CP;35823;1;1;0;0.00
360;CP;36250;1;1;0;0.00
360;CP;36484;1;1;0;0.00
360;CP;35354;1;1;0;0.00
360;CP;35296;1;1;0;0.00
360;CP;35767;1;1;0;0.00
360;CP;35752;1;1;0;0.00
360;CP;35660;1;1;0;0.00
360;CP;36470;1;1;0;0.00
360;CP;36306;1;1;0;0.00
360;CP;36022;1;1;0;0.00
360;CP;36129;1;1;0;0.00
360;CP;35846;1;1;0;0.00
360;CP;35688;1;1;0;0.00
360;CP;35557;1;1;0;0.00
360;CP;35578;1;1;0;0.00
360;CP;24909;1;1;0;0.00
360;CP;24536;1;1;0;0.00
360;CP;24310;1;1;0;0.00
360;CP;24639;1;1;0;0.00
360;CP;24446;1;1;0;0.00
360;CP;24430;1;1;0;0.00
360;CP;24553;1;1;0;0.00
360;CP;24433;1;1;0;0.00
360;CP;24203;1;1;0;0.00
360;CP;24225;1;1;0;0.00
360;CP;24544;1;1;0;0.00
360;CP;24296;1;1;0;0.00
360;CP;24351;1;1;0;0.00
360;CP;24634;1;1;0;0.00
360;CP;24377;1;1;0;0.00
360;CP;24551;1;1;0;0.00
360;CP;24502;1;1;0;0.00
360;CP;24286;1;1;0;0.00
360;CP;24446;1;1;0;0.00
360;CP;24660;1;1;0;0.00
360;CP;35840;1;1;0;0.00
360;CP;35121;1;1;0;0.00
360;CP;34849;1;1;0;0.00
360;CP;34973;1;1;0;0.00
360;CP;34424;1;1;0;0.00
360;CP;34208;1;1;0;0.00
360;CP;34633;1;1;0;0.00
360;CP;35131;1;1;0;0.00
360;CP;34897;1;1;0;0.00
360;CP;34670;1;1;0;0.00
360;CP;34381;1;1;0;0.00
360;CP;34309;1;1;0;0.00
360;CP;34437;1;1;0;0.00
360;CP;34925;1;1;0;0.00
360;CP;34576;1;1;0;0.00
360;CP;34417;1;1;0;0.00
360;CP;34347;1;1;0;0.00
360;CP;34440;1;1;0;0.00
360;CP;34312;1;1;0;0.00
360;CP;34680;1;1;0;0.00
360;SCP;13126;1;1;0;0.00
360;SCP;12881;1;1;0;0.00
360;SCP;13105;1;1;0;0.00
360;SCP;12879;1;1;0;0.00
360;SCP;12797;1;1;0;0.00
360;SCP;12795;1;1;0;0.00
360;SCP;13150;1;1;0;0.00
360;SCP;12752;1;1;0;0.00
360;SCP;12775;1;1;0;0.00
360;SCP;12866;1;1;0;0.00
360;SCP;12794;1;1;0;0.00
360;SCP;12721;1;1;0;0.00
360;SCP;12806;1;1;0;0.00
360;SCP;12794;1;1;0;0.00
360;SCP;12870;1;1;0;0.00
360;SCP;12780;1;1;0;0.00
360;SCP;12844;1;1;0;0.00
360;SCP;12872;1;1;0;0.00
360;SCP;12813;1;1;0;0.00
360;SCP;12817;1;1;0;0.00
360;SCP;12909;1;1;0;0.00
360;SCP;12822;1;1;0;0.00
360;SCP;12935;1;1;0;0.00
