Size;Method;Time;Status;Solution;Timeout;Scans
509;ULT;124869;0;0;0;511.60
509;ULT;118630;0;0;0;511.60
509;ULT;118835;0;0;0;511.60
509;ULT;120533;0;0;0;511.60
509;ULT;120553;0;0;0;511.60
509;ULT;120593;0;0;0;511.60
509;ULT;120530;0;0;0;511.60
509;ULT;118712;0;0;0;511.60
509;ULT;118792;0;0;0;511.60
509;ULT;120587;0;0;0;511.60
509;ULT;120508;0;0;0;511.60
509;ULT;120502;0;0;0;511.60
509;ULT;120514;0;0;0;511.60
509;ULT;120709;0;0;0;511.60
509;ULT;120612;0;0;0;511.60
509;ULT;119896;0;0;0;511.60
509;ULT;118766;0;0;0;511.60
509;ULT;118805;0;0;0;511.60
509;ULT;119414;0;0;0;511.60
509;ULT;119153;0;0;0;511.60
509;ULT;119746;0;0;0;511.38
509;ULT;119293;0;0;0;511.38
509;ULT;119345;0;0;0;511.38
509;ULT;119423;0;0;0;511.38
509;ULT;119355;0;0;0;511.38
509;ULT;119328;0;0;0;511.38
509;ULT;119369;0;0;0;511.38
509;ULT;119452;0;0;0;511.38
509;ULT;119338;0;0;0;511.38
509;ULT;119462;0;0;0;511.38
509;ULT;119380;0;0;0;511.38
509;ULT;119361;0;0;0;511.38
509;ULT;119653;0;0;0;511.38
509;ULT;119366;0;0;0;511.38
509;ULT;119444;0;0;0;511.38
509;ULT;119748;0;0;0;511.38
509;ULT;121198;0;0;0;511.38
509;ULT;119382;0;0;0;511.38
509;ULT;119342;0;0;0;511.38
509;ULT;119317;0;0;0;511.38
509;RULT;247;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;248;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;248;0;0;0;5.40
509;RULT;248;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;249;0;0;0;5.40
509;RULT;248;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;246;0;0;0;5.40
509;RULT;252;0;0;0;5.40
509;RULT;249;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;246;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;249;0;0;0;5.40
509;RULT;247;0;0;0;5.40
509;RULT;257;0;0;0;5.65
509;RULT;258;0;0;0;5.65
509;RULT;255;0;0;0;5.65
509;RULT;259;0;0;0;5.65
509;RULT;257;0;0;0;5.65
509;RULT;257;0;0;0;5.65
509;RULT;257;0;0;0;5.65
509;RULT;257;0;0;0;5.65
509;RULT;257;0;0;0;5.65
509;RULT;257;0;0;0;5.65
509;RULT;256;0;0;0;5.65
509;RULT;256;0;0;0;5.65
509;RULT;261;0;0;0;5.65
509;RULT;256;0;0;0;5.65
509;RULT;255;0;0;0;5.65
509;RULT;256;0;0;0;5.65
509;RULT;260;0;0;0;5.65
509;RULT;255;0;0;0;5.65
509;RULT;255;0;0;0;5.65
509;RULT;255;0;0;0;5.65
509;ILP;10327;0;0;0;0.00
509;ILP;7550;0;0;0;0.00
509;ILP;7610;0;0;0;0.00
509;ILP;7604;0;0;0;0.00
509;ILP;7617;0;0;0;0.00
509;ILP;7618;0;0;0;0.00
509;ILP;7629;0;0;0;0.00
509;ILP;7581;0;0;0;0.00
509;ILP;7611;0;0;0;0.00
509;ILP;7613;0;0;0;0.00
509;ILP;7624;0;0;0;0.00
509;ILP;7609;0;0;0;0.00
509;ILP;7610;0;0;0;0.00
509;ILP;7615;0;0;0;0.00
509;ILP;7626;0;0;0;0.00
509;ILP;7610;0;0;0;0.00
509;ILP;7616;0;0;0;0.00
509;ILP;7608;0;0;0;0.00
509;ILP;7617;0;0;0;0.00
509;ILP;7604;0;0;0;0.00
509;ILP;5309;0;0;0;0.00
509;ILP;4704;0;0;0;0.00
509;ILP;3776;0;0;0;0.00
509;ILP;3763;0;0;0;0.00
509;ILP;3763;0;0;0;0.00
509;ILP;3776;0;0;0;0.00
509;ILP;3790;0;0;0;0.00
509;ILP;3786;0;0;0;0.00
509;ILP;3789;0;0;0;0.00
509;ILP;3765;0;0;0;0.00
509;ILP;3773;0;0;0;0.00
509;ILP;3764;0;0;0;0.00
