Size;Method;Time;Status;Solution;Timeout;Scans
360;ULT;255053;1;1;0;2179.63
360;ULT;255790;1;1;0;2179.63
360;ULT;256577;1;1;0;2179.63
360;ULT;254940;1;1;0;2179.63
360;ULT;255006;1;1;0;2179.63
360;ULT;255696;1;1;0;2179.63
360;ULT;256864;1;1;0;2179.63
360;ULT;258607;1;1;0;2179.63
360;ULT;259082;1;1;0;2179.63
360;ULT;258843;1;1;0;2179.63
360;ULT;258778;1;1;0;2179.63
360;ULT;259016;1;1;0;2179.63
360;ULT;257047;1;1;0;2179.63
360;ULT;258167;1;1;0;2179.63
360;ULT;255708;1;1;0;2179.63
360;ULT;258105;1;1;0;2179.63
360;ULT;255260;1;1;0;2179.63
360;ULT;255156;1;1;0;2179.63
360;ULT;258359;1;1;0;2179.63
360;ULT;258579;1;1;0;2179.63
360;ULT;172322;1;1;0;1453.09
360;ULT;171314;1;1;0;1453.09
360;ULT;171854;1;1;0;1453.09
360;ULT;172706;1;1;0;1453.09
360;ULT;172259;1;1;0;1453.09
360;ULT;173646;1;1;0;1453.09
360;ULT;173983;1;1;0;1453.09
360;ULT;173851;1;1;0;1453.09
360;ULT;173241;1;1;0;1453.09
360;ULT;173425;1;1;0;1453.09
360;ULT;173489;1;1;0;1453.09
360;ULT;171445;1;1;0;1453.09
360;ULT;173280;1;1;0;1453.09
360;ULT;178646;1;1;0;1453.09
360;ULT;173066;1;1;0;1453.09
360;ULT;172366;1;1;0;1453.09
360;ULT;175255;1;1;0;1453.09
360;ULT;172659;1;1;0;1453.09
360;ULT;173756;1;1;0;1453.09
360;ULT;173628;1;1;0;1453.09
360;ULT;222305;1;1;0;1816.36
360;ULT;215429;1;1;0;1816.36
360;ULT;215768;1;1;0;1816.36
360;ULT;215531;1;1;0;1816.36
360;ULT;213925;1;1;0;1816.36
360;ULT;215158;1;1;0;1816.36
360;ULT;215855;1;1;0;1816.36
360;ULT;215842;1;1;0;1816.36
360;ULT;217484;1;1;0;1816.36
360;ULT;215621;1;1;0;1816.36
360;ULT;215841;1;1;0;1816.36
360;ULT;215787;1;1;0;1816.36
360;ULT;215645;1;1;0;1816.36
360;ULT;215652;1;1;0;1816.36
360;ULT;215758;1;1;0;1816.36
360;ULT;213500;1;1;0;1816.36
360;ULT;213784;1;1;0;1816.36
360;ULT;212647;1;1;0;1816.36
360;ULT;212659;1;1;0;1816.36
360;ULT;212705;1;1;0;1816.36
360;ULT;44103;0;0;0;362.29
360;ULT;44048;0;0;0;362.29
360;ULT;45074;0;0;0;362.29
360;ULT;45344;0;0;0;362.29
360;ULT;45285;0;0;0;362.29
360;ULT;45366;0;0;0;362.29
360;ULT;45335;0;0;0;362.29
360;ULT;45285;0;0;0;362.29
360;ULT;45311;0;0;0;362.29
360;ULT;45313;0;0;0;362.29
360;ULT;45275;0;0;0;362.29
360;ULT;45310;0;0;0;362.29
360;ULT;45345;0;0;0;362.29
360;ULT;45359;0;0;0;362.29
360;ULT;45311;0;0;0;362.29
360;ULT;45370;0;0;0;362.29
360;ULT;45364;0;0;0;362.29
360;ULT;45415;0;0;0;362.29
360;ULT;45329;0;0;0;362.29
360;ULT;45262;0;0;0;362.29
360;ULT;44804;0;0;0;362.65
360;ULT;44980;0;0;0;362.65
360;ULT;46372;0;0;0;362.65
360;ULT;46343;0;0;0;362.65
360;ULT;46338;0;0;0;362.65
360;ULT;46282;0;0;0;362.65
360;ULT;46380;0;0;0;362.65
360;ULT;46364;0;0;0;362.65
360;ULT;46365;0;0;0;362.65
360;ULT;46336;0;0;0;362.65
360;ULT;46371;0;0;0;362.65
360;ULT;46322;0;0;0;362.65
360;ULT;46414;0;0;0;362.65
360;ULT;46289;0;0;0;362.65
360;ULT;46367;0;0;0;362.65
360;ULT;46353;0;0;0;362.65
360;ULT;46471;0;0;0;362.65
360;ULT;46380;0;0;0;362.65
360;ULT;46334;0;0;0;362.65
360;ULT;46322;0;0;0;362.65
360;RULT;488;1;1;0;10.33
360;RULT;488;1;1;0;10.33
360;RULT;485;1;1;0;10.33
360;RULT;482;1;1;0;10.33
360;RULT;487;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;490;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;485;1;1;0;10.33
360;RULT;483;1;1;0;10.33
360;RULT;482;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;482;1;1;0;10.33
360;RULT;487;1;1;0;10.33
360;RULT;486;1;1;0;10.33
360;RULT;486;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;484;1;1;0;10.33
360;RULT;485;1;1;0;10.33
360;RULT;357;1;1;0;8.71
360;RULT;352;1;1;0;8.71
360;RULT;352;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;359;1;1;0;8.71
360;RULT;351;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;350;1;1;0;8.71
360;RULT;355;1;1;0;8.71
360;RULT;352;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;358;1;1;0;8.71
360;RULT;351;1;1;0;8.71
360;RULT;351;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;356;1;1;0;8.71
360;RULT;353;1;1;0;8.71
360;RULT;355;1;1;0;8.71
360;RULT;362;1;1;0;8.17
360;RULT;356;1;1;0;8.17
360;RULT;356;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;356;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;364;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;354;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;356;1;1;0;8.17
360;RULT;361;1;1;0;8.17
360;RULT;355;1;1;0;8.17
360;RULT;181;0;0;0;4.61
360;RULT;180;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;177;0;0;0;4.61
360;RULT;177;0;0;0;4.61
360;RULT;178;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;180;0;0;0;4.61
360;RULT;180;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;176;0;0;0;4.61
360;RULT;178;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;180;0;0;0;4.61
360;RULT;179;0;0;0;4.61
360;RULT;204;0;0;0;5.60
360;RULT;200;0;0;0;5.60
360;RULT;200;0;0;0;5.60
360;RULT;201;0;0;0;5.60
360;RULT;202;0;0;0;5.60
360;RULT;198;0;0;0;5.60
360;RULT;201;0;0;0;5.60
360;RULT;201;0;0;0;5.60
360;RULT;201;0;0;0;5.60
360;RULT;203;0;0;0;5.60
360;RULT;207;0;0;0;5.60
360;RULT;201;0;0;0;5.60
360;RULT;199;0;0;0;5.60
360;RULT;201;0;0;0;5.60
360;RULT;200;0;0;0;5.60
360;RULT;202;0;0;0;5.60
360;RULT;200;0;0;0;5.60
360;RULT;201;0;0;0;5.60
360;RULT;200;0;0;0;5.60
360;RULT;201;0;0;0;5.60
360;ILP;28131;1;1;0;0.00
360;ILP;23201;1;1;0;0.00
360;ILP;23517;1;1;0;0.00
360;ILP;23392;1;1;0;0.00
360;ILP;23287;1;1;0;0.00
360;ILP;23028;1;1;0;0.00
360;ILP;22869;1;1;0;0.00
360;ILP;23222;1;1;0;0.00
360;ILP;23397;1;1;0;0.00
360;ILP;22916;1;1;0;0.00
360;ILP;23004;1;1;0;0.00
360;ILP;23475;1;1;0;0.00
360;ILP;23087;1;1;0;0.00
360;ILP;23149;1;1;0;0.00
360;ILP;23538;1;1;0;0.00
360;ILP;23216;1;1;0;0.00
360;ILP;23251;1;1;0;0.00
360;ILP;23367;1;1;0;0.00
360;ILP;23105;1;1;0;0.00
360;ILP;23060;1;1;0;0.00
360;ILP;14091;1;1;0;0.00
360;ILP;9206;1;1;0;0.00
360;ILP;8676;1;1;0;0.00
360;ILP;8590;1;1;0;0.00
360;ILP;8532;1;1;0;0.00
360;ILP;8566;1;1;0;0.00
360;ILP;8677;1;1;0;0.00
360;ILP;8783;1;1;0;0.00
360;ILP;8888;1;1;0;0.00
360;ILP;8784;1;1;0;0.00
360;ILP;8557;1;1;0;0.00
360;ILP;8555;1;1;0;0.00
360;ILP;8610;1;1;0;0.00
360;ILP;8629;1;1;0;0.00
360;ILP;8833;1;1;0;0.00
360;ILP;9012;1;1;0;0.00
360;ILP;8957;1;1;0;0.00
360;ILP;9000;1;1;0;0.00
360;ILP;8556;1;1;0;0.00
360;ILP;8784;1;1;0;0.00
360;ILP;21720;1;1;0;0.00
360;ILP;19196;1;1;0;0.00
360;ILP;18806;1;1;0;0.00
360;ILP;18863;1;1;0;0.00
360;ILP;19030;1;1;0;0.00
360;ILP;18924;1;1;0;0.00
360;ILP;18990;1;1;0;0.00
360;ILP;19064;1;1;0;0.00
360;ILP;18890;1;1;0;0.00
360;ILP;18954;1;1;0;0.00
360;ILP;18972;1;1;0;0.00
360;ILP;18725;1;1;0;0.00
360;ILP;18832;1;1;0;0.00
360;ILP;18768;1;1;0;0.00
360;ILP;18764;1;1;0;0.00
360;ILP;18873;1;1;0;0.00
360;ILP;18841;1;1;0;0.00
360;ILP;18850;1;1;0;0.00
360;ILP;18961;1;1;0;0.00
360;ILP;19034;1;1;0;0.00
360;ILP;4300;0;0;0;0.00
360;ILP;4023;0;0;0;0.00
